username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AlckminPresida;2018-08-09 21:53;1;1;"Só lembrando, o debate é sempre livre, o Lula não. #DebateBand";;;#DebateBand;"1027719470469599233";https://twitter.com/AlckminPresida/status/1027719470469599233
AlckminPresida;2018-08-09 21:52;0;0;"Vai ficar mais evidente hoje quem é o candidato mais preparado para governar o Brasil. #DebateBand";;;#DebateBand;"1027719346716651520";https://twitter.com/AlckminPresida/status/1027719346716651520
omatheuslima_;2018-08-09 21:30;21;35;"O grande confronto do debate deve ser entre Bolsonaro e Alckmin . É Honestidade x desvios em merenda escolar. #EstouComBolsonaro #DebateBand";;;#EstouComBolsonaro #DebateBand;"1027713805298659328";https://twitter.com/omatheuslima_/status/1027713805298659328
SouDaviAlves;2018-08-09 21:26;92;219;"Oponentes de Bolsonaro hoje: Boulos: invasor de terras Ciro: candidato da China Daciolo: ex-psolista Alvaro: citado na Lava-Jato Alckmin : homem da merenda e do "centrão" Marina: cristã que apoia aborto Meirelles: recebeu milhões da J&F #DebateBand #EstouComBolsonaro";;;#DebateBand #EstouComBolsonaro;"1027712670940708867";https://twitter.com/SouDaviAlves/status/1027712670940708867
leobatisti;2018-08-09 21:22;4;10;"Tem que chamar o Alckmin de ladrão de merenda, senão não vale! #EstouComBolsonaro";;;#EstouComBolsonaro;"1027711667977826304";https://twitter.com/leobatisti/status/1027711667977826304
GABRELPlNHEIRO;2018-08-09 21:03;152;284;"#EstouComBolsonaro Marina é ex ministra de Lula Ciro é ex ministro de Lula Alckmin elogia Lula Meirelles foi presidente do BC do Lula durante os 2 mandatos";;;#EstouComBolsonaro;"1027707019212607489";https://twitter.com/GABRELPlNHEIRO/status/1027707019212607489
MotaEller;2018-08-09 20:43;16;26;"O PT cogita apoiar o ALCKMIN no segundo turno. Tem noção? O PT está fazendo a maior crueldade com o Ciro e com o país. É o poder pelo poder, total ausência de escrúpulos. Mesmo que Lula estivesse solto, meu voto seria no @cirogomes . #CiroNaBand";;@cirogomes;#CiroNaBand;"1027701910030241792";https://twitter.com/MotaEller/status/1027701910030241792
EstranhoSemNome;2018-08-09 18:44;29;80;"se eu sou o bolsonaro chego no debate fantasiado de seu boneco ("que hora é a merenda, chefia?") alckmin desmonta antes de começar";;;;"1027671870680821760";https://twitter.com/EstranhoSemNome/status/1027671870680821760
TheEconomist;2018-08-09 18:06;32;50;"Centrist Geraldo Alckmin will have the lion's share of advertising time on old media. Right-winger Jair Bolsonaro is the master of the new https:// econ.st/2KEQopR pic.twitter.com/hVTkA0cDko";;;;"1027662435275165696";https://twitter.com/TheEconomist/status/1027662435275165696
republica_ctba;2018-08-09 16:34;43;69;"Haddad revela que PT poderá apoiar Alckmin no segundo turno contra Bolsonaro https:// republicadecuritiba.net/2018/08/09/had dad-revela-que-pt-podera-apoiar-alckmin-no-segundo-turno-contra-bolsonaro/ … pic.twitter.com/n9Q1tjPu43";;;;"1027639341986848768";https://twitter.com/republica_ctba/status/1027639341986848768
