username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
vaktoa;2018-08-09 21:53;1;2;"@cirogomes não pode esquecer de perguntar ao Álvaro Dias : O Alckmin já começou a destruir sua reputação no Sul? Por que saiu do PSDB? #CiroNaBand #DebateBand";;@cirogomes;#CiroNaBand #DebateBand;"1027719588392382464";https://twitter.com/vaktoa/status/1027719588392382464
fer01nand;2018-08-09 21:51;0;0;"Odeio política vou Assistir o debate na Band mais uma coisa eu tenho uma certeza meu voto será do Álvaro dias";;;;"1027718967262171137";https://twitter.com/fer01nand/status/1027718967262171137
sisventura;2018-08-09 21:50;0;0;"Álvaro Dias";;;;"1027718816678199297";https://twitter.com/sisventura/status/1027718816678199297
padilhagja;2018-08-09 21:34;0;1;"me too";;;;"1027714812921475072";https://twitter.com/padilhagja/status/1027714812921475072
RealPauloGaspar;2018-08-09 21:30;5;7;"#DebateBand - O próximo Presidente da República Alvaro Dias , já se encontra nos Estúdios da Band para o 1º Debate Presidencial. A partir de agora, vamos usar em nossas postagens a hashtag #AlvaroDias . pic.twitter.com/ydmeHCrB15";;;#DebateBand #AlvaroDias;"1027713701158301696";https://twitter.com/RealPauloGaspar/status/1027713701158301696
RevistaISTOE;2018-08-09 21:18;9;39;"#ELEIÇÕES2018 Hoje às 22h acontece o primeiro debate com os candidatos à Presidência da República na Band. Os presidenciáveis Geraldo Alckmin, Jair Bolsonaro, Guilherme Boulos, Álvaro Dias , Cabo Daciolo, Marina Silva, Henrique Meirelles e Ciro Gomes já chegaram nos estúdios pic.twitter.com/JCMAIuXhVI";;;#ELEI;"1027710743611891713";https://twitter.com/RevistaISTOE/status/1027710743611891713
alvarodias_;2018-08-09 21:05;9;48;"Alvaro Dias já esta nos estúdios da @BandTV para o primeiro debate presidencial de 2018. Falta menos de 1 hora. #ADComunicação";;@BandTV;#ADComunica;"1027707409228333057";https://twitter.com/alvarodias_/status/1027707409228333057
mah4154;2018-08-09 20:35;58;200;"Resumão antecipado do debate da Band: Ciro ataca Lula e o PT. Alckmim ataca o PT e é aplaudido pelos mediadores. Bolsonaro ataca o PT e quem mais estiver passando. Álvaro Dias elogia Sérgio moro. Boulos tenta defender Lula e é interrompido. Marina não fala nada. Tito Lisboa";;;;"1027699860890443777";https://twitter.com/mah4154/status/1027699860890443777
rosa_riscala;2018-08-09 19:30;6;40;"Participam do debate na Band hoje (22h): Jair Bolsonaro (PSL), Geraldo Alckmin (PSDB), Marina Silva (Rede), Ciro Gomes (PDT), Alvaro Dias (Pode), Henrique Meirelles (MDB), Guilherme Boulos (PSOL) e Cabo Daciolo (Patri).";;;;"1027683601377374208";https://twitter.com/rosa_riscala/status/1027683601377374208
_makavelijones;2018-08-09 18:29;12;70;"Bolsonaro passando mal, Daciolo orando, Meirelles dizendo que a economia vai bem, Alckmin agradecendo o PCC, Marina Silva confusa, ninguém sabe quem é Alvaro Dias , Boulos e Ciro Gomes destruindo tudo e Haddad babando na plateia fora da festa. É isso que acontece hoje na Band";;;;"1027668309087543297";https://twitter.com/_makavelijones/status/1027668309087543297
BlogDoPim;2018-08-09 18:11;498;2464;"Marina Silva será clara e assertiva no #DebateBand ? Admitirá que Lula cometeu crimes, não “erros”? Henrique Meirelles e Alvaro Dias conseguirão ser cativantes e ganhar um protagonismo que não têm? Guilherme Boulos invadirá o espaço dos outros para roubar a cena? Separem a pipoca.";;;#DebateBand;"1027663805042622466";https://twitter.com/BlogDoPim/status/1027663805042622466
DebateJR;2018-08-09 16:29;3;7;"A FAVOR IMPEACHMENT DILMA: #DebateBand 1.Bolsonaro 2.Alckmin 3.Meirelles 4.Marina 5. Alvaro Dias 6.Cabo Daciolo";;;#DebateBand;"1027637934781091840";https://twitter.com/DebateJR/status/1027637934781091840
Diego_arcano;2018-08-09 15:19;2;22;"Alvaro Dias é o ''alicate'' na lista da Odebrecth kkkkkkkk";;;;"1027620491677327365";https://twitter.com/Diego_arcano/status/1027620491677327365
alvarodias_;2018-08-09 14:12;14;52;"Alvaro Dias será o primeiro candidato a fazer perguntas. Não perca! #AlvaroDias #JuntosPodemosMais https:// bit.ly/2My2z9B pic.twitter.com/cEIkIhUyrY";;;#AlvaroDias #JuntosPodemosMais;"1027603615643574275";https://twitter.com/alvarodias_/status/1027603615643574275
ricardoleony;2018-08-07 06:50;110;283;"Foram definidos os vices: Bolsonaro - Mourão Ciro - Kátia Abreu Álvaro Dias - Rabello Alckmin - Ana Amélia Marina - Eduardo Lula - Haddad Bahia - Vitória";;;;"1026767517568708608";https://twitter.com/ricardoleony/status/1026767517568708608
Gilbergues;2018-08-06 21:17;39;85;"O tempo dos candidatos a presidente no Guia Eleitoral: Alckmin - 5m32s Haddad - 2m08s Ciro - 0m40s Álvaro Dias - 0m40s Marina - 0m21s Bolsonaro - 0m09s Bolsonaro só vai poder destiliar um preconceito a cada programa com esse tempo todo!";;;;"1026623231627878400";https://twitter.com/Gilbergues/status/1026623231627878400
crncosta;2018-08-06 17:46;163;474;"Saiu a divisão oficial: 5m32s - Alckmin 2m08s - Haddad 0m40s - Ciro Gomes 0m40s - Álvaro Dias 0m21s - Marina 0m09s - Bolsonaro";;;;"1026570199720517633";https://twitter.com/crncosta/status/1026570199720517633
MudaBrasilAgora;2018-08-09 21:51;0;0;"#DebateBand - Brasil, olhos e ouvidos atentos para o candidato #AlvaroDias ! Ele tem excelentes propostas, é bom no debate e não está para brincadeira! pic.twitter.com/XaieAfpWIW";;;#DebateBand #AlvaroDias;"1027718979358535680";https://twitter.com/MudaBrasilAgora/status/1027718979358535680
twilliann;2018-08-09 21:50;0;0;"show de horrores jaja: alckmin ZzzzZ ciro bate em mulher bolsonaro nióbio marina meio ambiente meireles economia alvaro dias economia guilherme boules lula cabo daciolo ??????? presidiário púlpito vazio";;;;"1027718809728233473";https://twitter.com/twilliann/status/1027718809728233473
