username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ioneatuante4;2018-08-09 21:51;10;17;"#EstouComBolsonaro TODO MUNDO COM BOLSONARO @AriSirius @JesusOpressor1 @Athiabalba @0_marcia @aruthcao @sandrinhabian @RENATOGONZAGA @sbrjjo @_ClassRj @Gatitobest @Cecconellogiu @ventosuli6 @RaquelBlak @RoseBarros__ @ChobasB @Fabi_Moller_ @A_Flavinha_A @jairbolsonaro pic.twitter.com/eUgWbJQoGE";;@AriSirius @JesusOpressor1 @Athiabalba @0_marcia @aruthcao @sandrinhabian @RENATOGONZAGA @sbrjjo @_ClassRj @Gatitobest @Cecconellogiu @ventosuli6 @RaquelBlak @RoseBarros__ @ChobasB @Fabi_Moller_ @A_Flavinha_A @jairbolsonaro;#EstouComBolsonaro;"1027719001064067073";https://twitter.com/ioneatuante4/status/1027719001064067073
GABRELPlNHEIRO;2018-08-09 21:50;75;177;"#EstouComBolsonaro O cara da band News falando que Bolsonaro é um fenômeno na internet pic.twitter.com/pMRwJuUVmt";;;#EstouComBolsonaro;"1027718884848291840";https://twitter.com/GABRELPlNHEIRO/status/1027718884848291840
realchenx;2018-08-09 21:50;11;11;"#EstouComBolsonaro e vamos continuar no topo com @jairbolsonaro presidente pic.twitter.com/hYWuOwPyXt";;@jairbolsonaro;#EstouComBolsonaro;"1027718795035598848";https://twitter.com/realchenx/status/1027718795035598848
rcp01;2018-08-09 21:32;86;178;"O avião de Bolsonaro já chegou #EstouComBolsonaro pic.twitter.com/wysAeH6nh2";;;#EstouComBolsonaro;"1027714387275079680";https://twitter.com/rcp01/status/1027714387275079680
franciscomacsoa;2018-08-09 21:32;134;443;"#EstouComBolsonaro Tô tão ansioso que já tô assistindo o Show da Fé pra não perder o horário... Debate Bolsonaro vs Comunas ... pic.twitter.com/iZBHV8Gzdk";;;#EstouComBolsonaro;"1027714284556574721";https://twitter.com/franciscomacsoa/status/1027714284556574721
OsvladPereira;2018-08-09 21:31;124;208;"Jair Bolsonaro é o único Contra o Mecanismo #EstouComBolsonaro pic.twitter.com/umpxz5imDB";;;#EstouComBolsonaro;"1027714008646909952";https://twitter.com/OsvladPereira/status/1027714008646909952
SrtaLawyerBr17;2018-08-09 21:28;29;74;"To all our brothers and sisters, Brazilians at heart, scattered all over the world. And for the American conservative people, tell them that #EstouComBolsonaro (I'm with Bolsonaro ) Make Brazil Great Again";;;#EstouComBolsonaro;"1027713255811293184";https://twitter.com/SrtaLawyerBr17/status/1027713255811293184
dudu_mh;2018-08-09 21:26;17;19;"#EstouComBolsonaro pra cima deles, mostra que podemos ter um Brasil melhor para nos e as futuras gerações, a diferença tem nome chama-se @jairbolsonaro";;@jairbolsonaro;#EstouComBolsonaro;"1027712728927031296";https://twitter.com/dudu_mh/status/1027712728927031296
AsamiBanks;2018-08-09 21:25;64;73;"Você valoriza os bons princípios e modos,religião,educação, FAMÍLIA,Paz e liberdade? Então vota no Bolsonaro ! #EstoucomBolsonaro pic.twitter.com/9t0KrfNbYx";;;#EstoucomBolsonaro;"1027712417915129862";https://twitter.com/AsamiBanks/status/1027712417915129862
franciscomacsoa;2018-08-09 21:23;48;81;"#EstouComBolsonaro Falta pouco, Boa sorte capitão, Boa sorte @jairbolsonaro";;@jairbolsonaro;#EstouComBolsonaro;"1027711923142443008";https://twitter.com/franciscomacsoa/status/1027711923142443008
gsamogin;2018-08-09 21:22;25;45;"pic.twitter.com/3trHeGWawZ Sardinha também é Bolsonaro #estoucombolsonaro";;;#estoucombolsonaro;"1027711639431340032";https://twitter.com/gsamogin/status/1027711639431340032
AraciPatriota;2018-08-09 21:21;103;206;"Porque sou uma cidadã que LUTA pelo direito de ter minha OPINIÃO, é esse direito ninguém pode me tolher!! Aqui é Brasil Eu admiro pessoas honestas e de caráter e por isso mesmo eu apoio Bolsonaro !! #EstouComBolsonaro pic.twitter.com/FHOhG05FEG";;;#EstouComBolsonaro;"1027711481465458688";https://twitter.com/AraciPatriota/status/1027711481465458688
0_marcia;2018-08-09 21:17;99;202;"Oxente.... Olha quem vai votar no Bolsonaro #EstouComBolsonaro pic.twitter.com/C6SjnT7TVD";;;#EstouComBolsonaro;"1027710461410795532";https://twitter.com/0_marcia/status/1027710461410795532
CrisMenshova;2018-08-09 21:06;279;561;"- Vejo Bolsonaro nos tts mundial!!! - Com que frequência??? - O tempo todo!!! #EstouComBolsonaro";;;#EstouComBolsonaro;"1027707772773781504";https://twitter.com/CrisMenshova/status/1027707772773781504
Ro_Moller;2018-08-09 21:05;264;562;"A maior vantagem do Bolsonaro neste debate, é que ele não precisa mentir e muito menos esconder seu passado... #EstouComBolsonaro";;;#EstouComBolsonaro;"1027707369420201984";https://twitter.com/Ro_Moller/status/1027707369420201984
CrisMenshova;2018-08-09 20:55;93;133;"Eu estou com Bolsonaro sim! #EstouComBolsonaro";;;#EstouComBolsonaro;"1027704964255293441";https://twitter.com/CrisMenshova/status/1027704964255293441
franciscomacsoa;2018-08-09 20:44;43;54;"#EstouComBolsonaro A tag já está em 1 lugar No twitter! Vamo lá povo! Vamos manter e chegar nos trend mundial! @jairbolsonaro @BolsonaroSP @FlavioBolsonaro pic.twitter.com/uz9UbYxOrc";;@jairbolsonaro @BolsonaroSP @FlavioBolsonaro;#EstouComBolsonaro;"1027702145649442816";https://twitter.com/franciscomacsoa/status/1027702145649442816
mjcosta_;2018-08-09 20:43;359;921;"- Quero um presidente que coloque o Brasil acima de tudo e Deus acima de todos. - Mas, Maurício, esse é exatamente o slogan do Bolsonaro . - #EstouComBolsonaro";;;#EstouComBolsonaro;"1027701977390690304";https://twitter.com/mjcosta_/status/1027701977390690304
FontouraBrasil;2018-08-09 20:42;116;198;"A tropa está chegando ao comando de Jair Bolsonaro ! #DebateNaBande #EstouComBolsonaro pic.twitter.com/HPxNlFRXS3";;;#DebateNaBande #EstouComBolsonaro;"1027701575400255489";https://twitter.com/FontouraBrasil/status/1027701575400255489
EISENHOWER27;2018-08-09 20:17;52;102;"Poucos políticos tem a coragem que @jairbolsonaro tem em defender nossos recursos, enquanto isso vemos uma imprensa omissa e vendida #EuVotoBolsonaro pic.twitter.com/wWoJORta7T";;@jairbolsonaro;#EuVotoBolsonaro;"1027695288436355072";https://twitter.com/EISENHOWER27/status/1027695288436355072
sadboy_xvii;2018-08-09 21:53;11;5;"#EstouComBolsonaro Você é contra ou a favor do Bolsonaro ?";;;#EstouComBolsonaro;"1027719497531179009";https://twitter.com/sadboy_xvii/status/1027719497531179009
AsamiBanks;2018-08-09 21:21;39;69;"Você quer andar nas ruas sem se preocupar com Bandidos,estupradores etc??? vota no Bolsonaro ! #EstouComBolsonaro pic.twitter.com/RSP3aKKjNO";;;#EstouComBolsonaro;"1027711539279814656";https://twitter.com/AsamiBanks/status/1027711539279814656
