username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
chicobarney;2018-08-09 21:54;11;33;"Guilherme Boulos sempre uma simpatia com seu aspecto de Marlboro vermelho.";;;;"1027719704369086464";https://twitter.com/chicobarney/status/1027719704369086464
RealitySocial;2018-08-09 21:53;5;12;"Ana Paula Padrão: - Guilherme, o que vc vai fazer? Guilherme: - Boulos ! #DebateBand";;;#DebateBand;"1027719617211506688";https://twitter.com/RealitySocial/status/1027719617211506688
pinhead_lives;2018-08-09 21:51;3;9;"#EstouComBolsonaro Boulos : - Bolsonaro, o que você vai fazer se eleito em relação a habitação no Brasil? Mito: - Simples, vou fazer tudo o o PT e seu partido não fizeram em 14 anos no poder. #DebateBand";;;#EstouComBolsonaro #DebateBand;"1027719070458761217";https://twitter.com/pinhead_lives/status/1027719070458761217
Almeida_PSOL;2018-08-09 21:27;4;4;"din din din vou votar no Boulos sim! #BoulosNaBand";;;#BoulosNaBand;"1027713003611930627";https://twitter.com/Almeida_PSOL/status/1027713003611930627
SouDaviAlves;2018-08-09 21:26;92;220;"Oponentes de Bolsonaro hoje: Boulos : invasor de terras Ciro: candidato da China Daciolo: ex-psolista Alvaro: citado na Lava-Jato Alckmin: homem da merenda e do "centrão" Marina: cristã que apoia aborto Meirelles: recebeu milhões da J&F #DebateBand #EstouComBolsonaro";;;#DebateBand #EstouComBolsonaro;"1027712670940708867";https://twitter.com/SouDaviAlves/status/1027712670940708867
GuilhermeBoulos;2018-08-09 21:20;152;676;"Enquanto alguns vem com carro importado e motorista, eu chego no debate em marcha com o povo. Vamos juntos, esperamos ter um bom debate nessa noite. #BoulosNaBand pic.twitter.com/hMza9sc7va";;;#BoulosNaBand;"1027711319171104768";https://twitter.com/GuilhermeBoulos/status/1027711319171104768
pinhead_lives;2018-08-09 21:06;6;13;"#EstouComBolsonaro O que eu estou mais ancioso: Bolsonaro x Boulos";;;#EstouComBolsonaro;"1027707781388922880";https://twitter.com/pinhead_lives/status/1027707781388922880
BoulosGaucho;2018-08-09 21:03;11;20;"Tá chegando a hora! #BoulosNaBand pic.twitter.com/96qcYMbrDe";;;#BoulosNaBand;"1027706888941658114";https://twitter.com/BoulosGaucho/status/1027706888941658114
GuilhermeBoulos;2018-08-09 20:46;65;395;"E aí, quem vocês querem ver? #BoulosNaBand #DebateBand equipe pic.twitter.com/0W5TJEUJna";;;#BoulosNaBand #DebateBand;"1027702569995563008";https://twitter.com/GuilhermeBoulos/status/1027702569995563008
mjcosta_;2018-08-09 20:24;110;375;"O Capitão precisa destacar que vai armar o povo justamente para que possam defender suas vidas e propriedades frente aos grupos terroristas, como o MTST, comandado por Guilherme Boulos . #EuVotoBolsonaro";;;#EuVotoBolsonaro;"1027697182177206273";https://twitter.com/mjcosta_/status/1027697182177206273
GuilhermeBoulos;2018-08-09 20:08;121;550;"Começou o tuitaço! #BoulosNaBand";;;#BoulosNaBand;"1027693012636368896";https://twitter.com/GuilhermeBoulos/status/1027693012636368896
GuilhermeBoulos;2018-08-09 19:23;49;177;"Estarei hoje às 22h ao vivo na @BandTV para apresentar nossas propostas para o Brasil. Participe do nosso tuitaço com a tag #BoulosNaBand a partir das 20h! Vamos! pic.twitter.com/fjJgaDUS7o";;@BandTV;#BoulosNaBand;"1027681825555144704";https://twitter.com/GuilhermeBoulos/status/1027681825555144704
BoulosGaucho;2018-08-09 17:14;7;36;"Vamos ocupar Brasília!!! pic.twitter.com/QpVE3icG9Z";;;;"1027649234651242496";https://twitter.com/BoulosGaucho/status/1027649234651242496
BoulosGaucho;2018-08-09 17:08;6;19;"Colonização 2.0 pic.twitter.com/J5sBzRnRmQ";;;;"1027647948551868417";https://twitter.com/BoulosGaucho/status/1027647948551868417
GuilhermeBoulos;2018-08-09 15:05;770;2152;"Enquanto STF aprova reajuste salarial de juízes em 16%, Temer acelera o corte do benefício de 1 salário mínimo a idosos e pessoas com deficiência em situação de miséria. É ou não é uma esculhambação?";;;;"1027617000158314501";https://twitter.com/GuilhermeBoulos/status/1027617000158314501
BoulosGaucho;2018-08-09 13:41;12;24;"Brasil: onde alguns poucos tem privilégios e muitos sofrem para estudar e sobreviver. pic.twitter.com/mCgWWBZ3ZK";;;;"1027595692309659648";https://twitter.com/BoulosGaucho/status/1027595692309659648
BoulosGaucho;2018-08-09 13:28;8;13;"Trágico e também cômico a direita brasileira kkkkk pic.twitter.com/mccft2MgBn";;;;"1027592455741485056";https://twitter.com/BoulosGaucho/status/1027592455741485056
BoulosGaucho;2018-08-09 12:57;142;382;"Direitista fico bravo com a livre iniciativa do empresário. Hahaha pic.twitter.com/NdWdcOTWDd";;;;"1027584689257807872";https://twitter.com/BoulosGaucho/status/1027584689257807872
clara_avillez;2018-08-09 10:38;56;379;"Oie, se vc ainda não tem candidato, pesquise sobre Guilherme Boulos";;;;"1027549610431131648";https://twitter.com/clara_avillez/status/1027549610431131648
PJreish;2018-08-07 17:28;0;0;"Min hayda w leich heik . Chu l ossa";;;;"1026928104244211714";https://twitter.com/PJreish/status/1026928104244211714
