username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
raphaelsmuniz;2018-08-09 21:52;0;1;"O Cabo Daciolo chegou com uma bíblia na mão??? #DebateBand";;;#DebateBand;"1027719387275513857";https://twitter.com/raphaelsmuniz/status/1027719387275513857
RenatoCandido82;2018-08-09 21:52;1;0;"@CaboDaciolo e @GuilhermeBoulos são irrelevantes no cenário político-eleitoral estão participando do #DebateBand !! Por q o @joaoamoedonovo não ??? O @partidonovo30 tem propostas novas q só enriqueceria o debate !!!";;@CaboDaciolo @GuilhermeBoulos @joaoamoedonovo @partidonovo30;#DebateBand;"1027719246292365312";https://twitter.com/RenatoCandido82/status/1027719246292365312
pdrlms;2018-08-09 21:50;1;2;"#DebateBand É bem isso o que Boechat merece: terminar a carreira entrevistando Cabo Daciolo e Guilherme Boulos. Mediocridade total! #JoãoNaBand";;;#DebateBand #Jo;"1027718817898790914";https://twitter.com/pdrlms/status/1027718817898790914
fabio_frizzo;2018-08-09 21:46;0;2;"E se Nietzsche estava certo e Deus está morto quem assume é Jesus ou o Aécio?";;;;"1027717766470672384";https://twitter.com/fabio_frizzo/status/1027717766470672384
arturhenriques0;2018-08-09 21:41;0;3;"essa foi genuinamente boa, Fábio devia pleitear um emprego na campanha";;;;"1027716530446970881";https://twitter.com/arturhenriques0/status/1027716530446970881
arturhenriques0;2018-08-09 21:40;0;1;"hahahaha";;;;"1027716377006751744";https://twitter.com/arturhenriques0/status/1027716377006751744
phpacha;2018-08-09 21:40;0;1;"Ele tinha que mandar a frase que o @fabio_frizzo cunhou pra ele: "Eu sou o vice, o candidato é Deus!".";;@fabio_frizzo;;"1027716240578682880";https://twitter.com/phpacha/status/1027716240578682880
arturhenriques0;2018-08-09 21:38;0;2;"já é um bom gancho para citar a Bíblia rss";;;;"1027715841960411136";https://twitter.com/arturhenriques0/status/1027715841960411136
phpacha;2018-08-09 21:37;0;2;"É verdade! Outro hit que estou esperando é dizer que a crise brasileira é pq o país se afastou de Deus.";;;;"1027715599756091392";https://twitter.com/phpacha/status/1027715599756091392
cnt_pr;2018-08-09 21:31;6;17;"Torcendo pelo Cabo Daciolo";;;;"1027713982432456709";https://twitter.com/cnt_pr/status/1027713982432456709
