username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
whoisveiga;2018-08-09 21:50;2;1;"Ciro Gomes Presidente #CiroNaBand";;;#CiroNaBand;"1027718837360381954";https://twitter.com/whoisveiga/status/1027718837360381954
PCiroGomes2018;2018-08-09 21:31;5;9;"O Brasil todo está com Ciro Gomes . Vem para a massa também #CiroNaBand pic.twitter.com/kViQQwGLut";;;#CiroNaBand;"1027713893399965697";https://twitter.com/PCiroGomes2018/status/1027713893399965697
AdjutoAllan;2018-08-09 21:25;10;12;"Ciro só tem um adversário nessas eleições: A ignorância. Como tenho esperanças quanto à capacidade e à honestidade do povo brasileiro, não tenho dúvidas: Ciro Gomes será presidente do Brasil em 2018. #CiroNaBand #Ciro12";;;#CiroNaBand #Ciro12;"1027712392841621505";https://twitter.com/AdjutoAllan/status/1027712392841621505
MSComCiro1;2018-08-09 21:18;8;15;"Ciro Gomes tem o melhor projeto para o Brasil. Ele vai fazer o nosso povo feliz de novo. E não é usando frase de efeito não, heim? É usando PROJETO! Se atentem, pessoas! É #CiroPresidente12 #CiroNaBand #DebateBand";;;#CiroPresidente12 #CiroNaBand #DebateBand;"1027710710170759168";https://twitter.com/MSComCiro1/status/1027710710170759168
Bodoquena;2018-08-09 21:07;11;17;"#EstouComBolsonaro Ciro Gomes já começou os elogios ao nosso Mito. Com certeza já está de olho no 2°turno. Será que o "Coroné" é oportunista?? Kkkkk";;;#EstouComBolsonaro;"1027707899961901056";https://twitter.com/Bodoquena/status/1027707899961901056
PCiroGomes2018;2018-08-09 20:58;16;20;"CIRO GOMES JÁ FOI ELEITO MELHOR GOVERNADOR DO ESTADO DO CEARÁ #CiroNaBand";;;#CiroNaBand;"1027705656374161408";https://twitter.com/PCiroGomes2018/status/1027705656374161408
Regivana1;2018-08-09 20:51;12;16;"Quem anda prá trás é caranguejo, portanto vamos eleger o Ciro Gomes Presidente, que tem uma visão futurista. #CiroNaBand #CiroPresidente12";;;#CiroNaBand #CiroPresidente12;"1027704023414124544";https://twitter.com/Regivana1/status/1027704023414124544
Regivana1;2018-08-09 20:34;9;9;""Para recuperar e modernizar a infraestrutura", eu voto Ciro Gomes Presidente! #CiroNaBand #CiroPresidente12";;;#CiroNaBand #CiroPresidente12;"1027699692434542592";https://twitter.com/Regivana1/status/1027699692434542592
mdarlenm;2018-08-09 20:24;6;8;"Quem disse que @cirogomes precisa de aliança partidária, a aliança do Ciro é o povo e o @cirogomes é a nossa esperança. #CiroNaBand #CiroPresidente12 pic.twitter.com/gMIur7d8dc";;@cirogomes @cirogomes;#CiroNaBand #CiroPresidente12;"1027697217895849985";https://twitter.com/mdarlenm/status/1027697217895849985
PCiroGomes2018;2018-08-09 20:18;7;11;"Ciro Gomes é um candidato preparado e respeitado por todos. #CiroNaBand pic.twitter.com/r1ho5cQung";;;#CiroNaBand;"1027695751638540288";https://twitter.com/PCiroGomes2018/status/1027695751638540288
lucasgbar;2018-08-09 20:07;34;57;"Aos 36 anos de idade, Ciro Gomes já tinha acumulado o direito a receber 3 pensões vitalícias, que lhe dariam direito ao valor mensal de R$ 86 mil reais. Nunca aceitou receber, porque considera imoralidade. Representa economia de mais de R$ 25 milhões ao erário. #CiroNaBand";;;#CiroNaBand;"1027692801562226688";https://twitter.com/lucasgbar/status/1027692801562226688
