username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
rodsgo;2018-08-09 21:54;1;0;"candidatura do Henrique Meirelles é a mais errada";;;;"1027719736874950656";https://twitter.com/rodsgo/status/1027719736874950656
lemiroirnoir;2018-08-09 21:53;0;0;"meu aniversario coincide só com desgraça morte da princesa diana impeachment da dilma nascimento do henrique meirelles";;;;"1027719616083177472";https://twitter.com/lemiroirnoir/status/1027719616083177472
destak;2018-08-09 21:35;2;13;"'Sou o candidato da renda, do progresso' é a frase de Henrique Meirelles na entrada da Band para o debate: pic.twitter.com/mKbghPakWj";;;;"1027715024939307008";https://twitter.com/destak/status/1027715024939307008
JoaoGAnjos;2018-08-09 21:30;0;1;"Álvaro Dias e Henrique Meirelles estão no debate da @BandTV . @joaoamoedonovo não está. Muito estranho. Eu queria saber qual o critério. #DebateBand";;@BandTV @joaoamoedonovo;#DebateBand;"1027713865306529800";https://twitter.com/JoaoGAnjos/status/1027713865306529800
RevistaISTOE;2018-08-09 21:18;9;39;"#ELEIÇÕES2018 Hoje às 22h acontece o primeiro debate com os candidatos à Presidência da República na Band. Os presidenciáveis Geraldo Alckmin, Jair Bolsonaro, Guilherme Boulos, Álvaro Dias, Cabo Daciolo, Marina Silva, Henrique Meirelles e Ciro Gomes já chegaram nos estúdios pic.twitter.com/JCMAIuXhVI";;;#ELEI;"1027710743611891713";https://twitter.com/RevistaISTOE/status/1027710743611891713
TvBandnews;2018-08-09 21:10;6;14;"#DebateBand : Chega ao Grupo Bandeirantes de Comunicação o candidato ao Planalto pelo MDB, Henrique Meirelles . pic.twitter.com/A3yKu9xns1";;;#DebateBand;"1027708688264572928";https://twitter.com/TvBandnews/status/1027708688264572928
MarkosOliveira;2018-08-09 20:29;13;43;"Henrique Meirelles , candidato do PMDB acha que o casamento entre pessoas do mesmo gênero "não pode ser nem propagado, nem proibido". Tb acho que o casamento entre heteros deveria parar de ser propagado. Nos pouparia muitos clichês em finais de novela. https:// m.oglobo.globo.com/brasil/henriqu e-meirelles-desconversa-sobre-protecao-grupo-de-temer-caso-eleito-22951871 … pic.twitter.com/FVjfBsvmf9";;;;"1027698512329420801";https://twitter.com/MarkosOliveira/status/1027698512329420801
rosa_riscala;2018-08-09 19:30;6;40;"Participam do debate na Band hoje (22h): Jair Bolsonaro (PSL), Geraldo Alckmin (PSDB), Marina Silva (Rede), Ciro Gomes (PDT), Alvaro Dias (Pode), Henrique Meirelles (MDB), Guilherme Boulos (PSOL) e Cabo Daciolo (Patri).";;;;"1027683601377374208";https://twitter.com/rosa_riscala/status/1027683601377374208
BlogDoPim;2018-08-09 18:11;499;2469;"Marina Silva será clara e assertiva no #DebateBand ? Admitirá que Lula cometeu crimes, não “erros”? Henrique Meirelles e Alvaro Dias conseguirão ser cativantes e ganhar um protagonismo que não têm? Guilherme Boulos invadirá o espaço dos outros para roubar a cena? Separem a pipoca.";;;#DebateBand;"1027663805042622466";https://twitter.com/BlogDoPim/status/1027663805042622466
usevitor;2018-08-09 17:51;0;1;"Brazilian horror story: Henrique meirelles";;;;"1027658742278565889";https://twitter.com/usevitor/status/1027658742278565889
brunopsda;2018-08-09 17:08;5;10;"Guilherme Boulos no debate: Vou invadir a sua Propriedade. Marina Silva no debate: Vamos tomar um suco detox; Henrique Meirelles no debate: Falando algo que não é possível entender; Ciro Gomes no debate: Viado filho da puta, pra casa;";;;;"1027647889932210176";https://twitter.com/brunopsda/status/1027647889932210176
willmummy;2018-08-09 12:21;16;46;"Caiu de 1% para 0,7% a intenção de voto no Henrique Meirelles . É a força eleitoral do Temer começando a funcionar!!!";;;;"1027575715309477888";https://twitter.com/willmummy/status/1027575715309477888
omatheuslima_;2018-08-07 12:28;72;273;"A Coluna do Estadão publica que, como Jair Bolsonaro não desidratou como se esperava, as campanhas de Henrique Meirelles e Geraldo Alckmin vão atacá-lo com vídeos que mostram Bolsonaro descontrolado ou dizendo bobagens. So não dá para dizer que Bolsonaro é corrupto.";;;;"1026852616523931648";https://twitter.com/omatheuslima_/status/1026852616523931648
GABRELPlNHEIRO;2018-08-06 23:11;50;360;"Candidatos que vão no debate da Band, quinta: Jair Bolsonaro Marina Silva Ciro Gomes Geraldo Alckmin Henrique Meirelles Alvaro Dias Cabo Daciolo Guilherme Boulos";;;;"1026652119527567360";https://twitter.com/GABRELPlNHEIRO/status/1026652119527567360
miltonjung;2018-08-06 09:58;156;481;"Candidatos a Presidente Jair Bolsonaro (PSL) Lula (PT) Geraldo Alckmin (PSDB) Marina Silva (Rede) Ciro Gomes (PDT) Henrique Meirelles (MDB) Alvaro Dias (Podemos) Guilherme Boulos (PSOL) João Amoêdo (Novo) Eymael (DC) Vera Lúcia(PSTU) João Goulart F (PPL) Cabo Daciolo (Patriotas)";;;;"1026452408300445696";https://twitter.com/miltonjung/status/1026452408300445696
boorigoni;2018-08-09 21:54;0;1;"henrique meirelles morre AO VIVO no debate";;;;"1027719760254042112";https://twitter.com/boorigoni/status/1027719760254042112
guilefreitas;2018-08-09 21:53;0;0;"já dá pra falar que o Henrique Meirelles é a figura mais triste do #DebateBand ?";;;#DebateBand;"1027719642939318272";https://twitter.com/guilefreitas/status/1027719642939318272
daniel_hd;2018-08-09 21:37;0;0;"henrique meirelles não ganha nem pra prefeito de Anapolis, que dirá dono das capitanias hereditárias";;;;"1027715515802955776";https://twitter.com/daniel_hd/status/1027715515802955776
vulgomatias;2018-08-09 21:30;2;1;"Estarão presentes Álvaro Dias (Podemos), Cabo Daciolo (Patriota), Ciro Gomes (PDT), Geraldo Alckmin (PSDB), Guilherme Boulos (PSOL), Henrique Meirelles (MDB), Jair Bolsonaro (PSL) e Marina Silva (Rede).";;;;"1027713870838857729";https://twitter.com/vulgomatias/status/1027713870838857729
catracalivre;2018-08-09 21:13;1;6;"Henrique Meirelles (MDB) também está presente. #DebateBand pic.twitter.com/mO50XV4f1B";;;#DebateBand;"1027709413526622208";https://twitter.com/catracalivre/status/1027709413526622208
sergiomatarazzo;2018-08-09 21:13;0;2;"Henrique Meirelles quer aplicar novamente a política do Lula. E prometeu deixar só 3 milhões de desempregados no final do seu governo! Ah bom! Na próxima pesquisa vai dar traço! Sempre foi cupincha do Lula, só isso!";;;;"1027709385873731584";https://twitter.com/sergiomatarazzo/status/1027709385873731584
radiobandnewsfm;2018-08-09 21:10;3;9;"O presidenciável Henrique Meirelles , do MDB, chega ao Grupo Bandeirantes de Comunicação para o #DebateBand pic.twitter.com/waZOWTs8X8";;;#DebateBand;"1027708654424866816";https://twitter.com/radiobandnewsfm/status/1027708654424866816
Nath_Any1;2018-08-09 21:10;0;0;"Henrique Meirelles fez plástica nos olhos???";;;;"1027708624351703040";https://twitter.com/Nath_Any1/status/1027708624351703040
Joao_Bieski;2018-08-09 19:59;0;0;"Henrique Meirelles vai dar um pau em geral hoje no debate, na parte econômica pelo menos,quase crtz";;;;"1027690881967693825";https://twitter.com/Joao_Bieski/status/1027690881967693825
Joseph_Bentes;2018-08-09 13:10;1;1;"Hoje tem TALCKMIN, Marina, Bolsominion, Cirão da massa, Henrique Meirelles E BOULOS! BOULOS!";;;;"1027587997838008322";https://twitter.com/Joseph_Bentes/status/1027587997838008322
vinibanshee;2018-08-09 10:09;18;20;"Geraldo Alckmin - R$ 828,1 milhões Lula - R$ 269,8 milhões Henrique Meirelles - R$ 249 milhões Alvaro Dias - R$ 83,8 milhões Ciro Gomes - R$ 73,9 milhões Marina Silva - R$ 35,3 milhões Guilherme Boulos - R$ 22,4 milhões Jair Bolsonaro - R$ 12,9 milhões https:// congressoemfoco.uol.com.br/eleicoes/colig acao-de-alckmin-vai-ficar-com-metade-de-novo-fundo-bilionario/ …";;;;"1027542281279156224";https://twitter.com/vinibanshee/status/1027542281279156224
fernandocluiz;2018-08-08 20:21;3;62;"Henrique Meirelles é otimo. pena que nao ganha. mas é otimo. E rico pela iniciativa privada, nao sendo um adendo do governo, como os demais .. Alckimin, Bozo, Ciro, etc.";;;;"1027333973536645121";https://twitter.com/fernandocluiz/status/1027333973536645121
PanichiRaphael;2018-08-07 13:54;71;116;"A esquerda e os corruptos do centrão estão unidos sim! A Coluna do Estadão publica que, como Jair Bolsonaro não desidratou como se esperava, as campanhas de Henrique Meirelles e Geraldo Alckmin vão atacá-lo com vídeos que tentem minar Bolsonaro. Você acredita nessa quadrilha? pic.twitter.com/EBJ1PA0htZ";;;;"1026874225305546752";https://twitter.com/PanichiRaphael/status/1026874225305546752
SchuldinerSieg;2018-08-07 09:37;18;182;"Lista de candidatos confirmados no debate da Band. A grande pergunta é: O que o Cabo Daciolo tá fazendo aí? Jair Bolsonaro Marina Silva Ciro Gomes Geraldo Alckmin Henrique Meirelles Alvaro Dias Cabo Daciolo Guilherme Boulos";;;;"1026809520536936448";https://twitter.com/SchuldinerSieg/status/1026809520536936448
GABRELPlNHEIRO;2018-08-06 23:12;8;140;"Mano, dava pra cortar o Henrique Meirelles , Cabo Daciolo e Guilherme Boulos Os caras tem 1 ou 2%";;;;"1026652291968000001";https://twitter.com/GABRELPlNHEIRO/status/1026652291968000001
leonelcupertino;2018-08-05 21:39;7;8;"Oito candidatos à presidência devem ir ao debate da @BandTV , na quinta-feira (9). São eles: Henrique Meirelles (MDB); Geraldo Alckmin (PSDB); Marina Silva (Rede); Ciro Gomes (PDT); Alvaro Dias (PODE); Manuela D'Ávila (PCdoB); Guilherme Boulos (PSOL); e Jair Bolsonaro (PSL).";;@BandTV;;"1026266584871051264";https://twitter.com/leonelcupertino/status/1026266584871051264
DamaresAlves_;2018-08-05 20:55;172;528;"QUE PALHAÇADA É ESTA MESMO? Os candidatos a presidência ficaram loucos? O PSDB estuda legalizar as drogas. O Meireles se eleito vai legalizar a maconha. Quem está por trás de tudo isto? Será que tem megainvestidor financiando campanhas presidenciais? https:// istoe.com.br/eleito-vou-lib erar-o-uso-da-maconha/#…";;;#;"1026255497182306304";https://twitter.com/DamaresAlves_/status/1026255497182306304
jornalistavitor;2018-08-09 21:52;0;0;"BandNews TV #DebateBand : Chega ao Grupo Bandeirantes de Comunicação o candidato ao Planalto pelo MDB, Henrique Meirelles . pic.twitter.com/WUZs9FA4ld @TvBandnews @jornalistavitor";;@TvBandnews @jornalistavitor;#DebateBand;"1027719386579300352";https://twitter.com/jornalistavitor/status/1027719386579300352
ameisaber;2018-08-09 21:47;1;2;"Quem vai assistir? #DebateBand #JairBolsonaro #BoulosNaBand #BolsonaroNaBand #GuilhermeBoulos #bolsonaro #boulos #ciro #cirogomes #CiroNaBand #estoucombolsonaro #MarinaNaBand #GeraldoAlckmin #euvotobolsonaro #alckmin #alvarodias #marinasilva #cabodaciolo #henriquemeirelles pic.twitter.com/Vu6QwxSIWq";;;#DebateBand #JairBolsonaro #BoulosNaBand #BolsonaroNaBand #GuilhermeBoulos #bolsonaro #boulos #ciro #cirogomes #CiroNaBand #estoucombolsonaro #MarinaNaBand #GeraldoAlckmin #euvotobolsonaro #alckmin #alvarodias #marinasilva #cabodaciolo #henriquemeirelles;"1027717969437237248";https://twitter.com/ameisaber/status/1027717969437237248
hiltonflu_sousa;2018-08-09 21:28;0;0;"Henrique Meirelles também";;;;"1027713298551193601";https://twitter.com/hiltonflu_sousa/status/1027713298551193601
wences_cruz;2018-08-09 21:14;0;0;"Henrique Meirelles : Vai criar 10 milhões de empregos. Sem comentários. #BandNews";;;#BandNews;"1027709772492091392";https://twitter.com/wences_cruz/status/1027709772492091392
nivasouza;2018-08-09 21:13;0;2;"Henrique Meirelles chega pro #DebateBand com grande comitiva em carro de passeio e uma van. pic.twitter.com/zntv7JmOhV";;;#DebateBand;"1027709488424464384";https://twitter.com/nivasouza/status/1027709488424464384
rahnandes9;2018-08-09 21:10;0;0;"#DebateBand O Henrique Meirelles pode surpreender. Apesar de ser do MDB.";;;#DebateBand;"1027708631997980673";https://twitter.com/rahnandes9/status/1027708631997980673
NelsonGnarlin;2018-08-09 21:09;0;0;"Henrique Meirelles defendendo o Temer no debate vai ser engraçado kkk";;;;"1027708359028498432";https://twitter.com/NelsonGnarlin/status/1027708359028498432
letanaka_;2018-08-09 16:40;0;2;"eu acabei de falar com o henrique meirelles no telefone e nem sabia se soubesse teria soltado um FOI GOLPE";;;;"1027640855417548801";https://twitter.com/letanaka_/status/1027640855417548801
BoulosGaucho;2018-08-09 13:47;0;4;"Henrique Meirelles Memes: versão sincera. pic.twitter.com/RNayBa77RO";;;;"1027597149335433216";https://twitter.com/BoulosGaucho/status/1027597149335433216
italoalves;2018-08-09 12:34;0;6;"Sonhei que o Henrique Meirelles era professor substituto no departamento e não tava conseguindo entrar na sala dos professores depois que tinham instalado fechadura eletrônica, aí tava na frente esperando algum outro professor passar pra entrar junto. Bom dia.";;;;"1027578895212728320";https://twitter.com/italoalves/status/1027578895212728320
LuizHespanha;2018-08-09 12:03;1;1;"#DebateBand Interessadíssimo nas propostas do Cabo Daciolo sobre a política nuclear brasileira e nas propostas de Henrique Meirelles sobre juros bancários e taxação das grandes fortunas.";;;#DebateBand;"1027570957286879233";https://twitter.com/LuizHespanha/status/1027570957286879233
