username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
elojuventude18;2018-08-09 21:52;1;2;"Cheguei, to preparada pra arrasar! #DebateBand #MarinaNaBand @MarinaSilva Foto: Leo Cabral pic.twitter.com/9g52rWMRIk";;@MarinaSilva;#DebateBand #MarinaNaBand;"1027719265095503872";https://twitter.com/elojuventude18/status/1027719265095503872
qqkel;2018-08-09 21:52;0;1;"eduardo jorge e marina silva são a maior prova de que os opostos se atraem";;;;"1027719202730323968";https://twitter.com/qqkel/status/1027719202730323968
cydlos;2018-08-09 21:51;1;5;"marina silva chegando com sua nave ao debate";;;;"1027719103375699968";https://twitter.com/cydlos/status/1027719103375699968
jonathaneduard8;2018-08-09 21:40;2;4;"Ansioso para assistir o #DebateBand para ouvir a candidata mais bem preparada @MarinaSilva falar suas propostas para o Brasil. #MarinaNaBand";;@MarinaSilva;#DebateBand #MarinaNaBand;"1027716254101131264";https://twitter.com/jonathaneduard8/status/1027716254101131264
BonoroPistola;2018-08-09 21:32;22;56;"olhem os participantes do debate Band 2014 e descubra pq cansamos dos mesmos Dilma Aécio Marina Silva Eduardo Jorge Luciana Genro Levy Fidelix Pastor Everaldo por isso #EstouComBolsonaro";;;#EstouComBolsonaro;"1027714344505753601";https://twitter.com/BonoroPistola/status/1027714344505753601
elojuventude18;2018-08-09 21:32;3;9;"Daqui a pouco começará o primeiro debate presidencial. Marina Silva mostrará que é melhor opção para o Brasil !!! Assista ao vivo, às 22h: http:// bit.ly/Debate_Band #DebateBand #BandEleições #MarinaNaBand @MarinaSilva #OlhoNoCandidatoOlhoNoVoto pic.twitter.com/JMFq81y77I";;@MarinaSilva;#DebateBand #BandElei #MarinaNaBand #OlhoNoCandidatoOlhoNoVoto;"1027714152586989568";https://twitter.com/elojuventude18/status/1027714152586989568
_makavelijones;2018-08-09 21:28;4;16;"Marina Silva , no debate, não vai nem perguntar e nem responder, muito pelo contrário. #BoulosNaBand";;;#BoulosNaBand;"1027713266183757824";https://twitter.com/_makavelijones/status/1027713266183757824
destak;2018-08-09 21:26;7;32;"Marina Silva , em sua chegada ao debate na Band: 'Se continuar a polarização, vamos a um poço sem fundo' pic.twitter.com/AKOgSFDNg1";;;;"1027712663386828802";https://twitter.com/destak/status/1027712663386828802
MarinaEduardo18;2018-08-09 21:11;3;13;"Marina Silva chegou no #DebateBand #marinaband pic.twitter.com/wSUe3rdzS5";;;#DebateBand #marinaband;"1027709077818953729";https://twitter.com/MarinaEduardo18/status/1027709077818953729
MBrasil2018;2018-08-09 21:03;3;5;"Marina Silva é a unica candidata a presidente mulher #DebateBand #SomosMarina #MarinaNaBand";;;#DebateBand #SomosMarina #MarinaNaBand;"1027707049138900993";https://twitter.com/MBrasil2018/status/1027707049138900993
Fmutiroes;2018-08-09 20:49;0;3;"Usem a tag: #JuntosComMarina #DebateBand @MarinaSilva";;@MarinaSilva;#JuntosComMarina #DebateBand;"1027703347124559873";https://twitter.com/Fmutiroes/status/1027703347124559873
MBrasil2018;2018-08-09 20:39;4;14;"Daqui a pouco tem #MarinaNaBand assista ao #DebateBand e constate que Marina Silva é a candidata mais preparada para governar o Brasil #somosMarina #Brasil quer Marina Presidente";;;#MarinaNaBand #DebateBand #somosMarina #Brasil;"1027700977229545472";https://twitter.com/MBrasil2018/status/1027700977229545472
pandlrnews;2018-08-09 16:35;167;624;"Bolsonaro tenta fazer campanha contra Marina Silva mas vira motivo de chacota mais uma vez http:// bit.ly/2AX78ZK pic.twitter.com/i0ZC68Ruoo";;;;"1027639575211134978";https://twitter.com/pandlrnews/status/1027639575211134978
semfimlucrativo;2018-08-09 15:07;261;557;"Jair Bolsonaro dá três motivos para votar em Marina Silva https:// twitter.com/jairbolsonaro/ status/1027591619380490240 …";;;;"1027617349854216192";https://twitter.com/semfimlucrativo/status/1027617349854216192
jairbolsonaro;2018-08-09 13:25;3246;12834;"Você sabia que o vice de Marina Silva é a favor do aborto, legalização da maconha e criminalização da “homofobia”? pic.twitter.com/baTmQKs16D";;;;"1027591619380490240";https://twitter.com/jairbolsonaro/status/1027591619380490240
Felippe_Hermes;2018-08-09 13:16;201;757;"Pessoal disquerda depreciando Marina Silva (mulher, negra e provavelmente a maior ambientalista BR), e passando pano pra Kátia Abreu (lobysta do agronegócio e ávida defensora das motosseras), meramente pq a primeira saiu do PT e a segunda "foi fiel" a Dilma. Religião é isso aí.";;;;"1027589418083868672";https://twitter.com/Felippe_Hermes/status/1027589418083868672
