username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NaoPadre;2018-08-09 23:26;179;395;"Bolsonaro humilha Alckmin em pergunta sobre Segurança Pública #BolsonaroNaBand pic.twitter.com/x0iVkM4WA3";;;#BolsonaroNaBand;"1027743070551502848";https://twitter.com/NaoPadre/status/1027743070551502848
Mark_Senkd;2018-08-09 23:19;131;241;"#BolsonaroNaBand Claramente o assessor do Alckmin armou para deixarem o Bolsonaro de escanteio no debate. O medo é algo evidente na esquerda corrupta e covarde. pic.twitter.com/woRybMszDw";;;#BolsonaroNaBand;"1027741175099351040";https://twitter.com/Mark_Senkd/status/1027741175099351040
Bopressor20;2018-08-09 23:08;84;202;"Gerlado Alckmin é mais eficaz que maracujina #BolsonaronaBand";;;#BolsonaronaBand;"1027738510533517312";https://twitter.com/Bopressor20/status/1027738510533517312
LorenzonItalo;2018-08-09 23:06;156;807;"Como Alckmin vai resolver a violência? Vai pedir para as facções, ué. #DebateBand";;;#DebateBand;"1027737954331123712";https://twitter.com/LorenzonItalo/status/1027737954331123712
OliverStuenkel;2018-08-09 23:06;9;41;"Meirelles completely lacks the capacity to connect with potential voters. Hard to understand how he ever believed he could win. Makes Alckmin look charming.";;;;"1027737828371968002";https://twitter.com/OliverStuenkel/status/1027737828371968002
_SaraWinter;2018-08-09 23:05;86;605;"O Alckmin tá de brincadeira querendo criar uma OUTRA polícia. Nós já temos a polícia civil e a militar!!! VAMOS VOLORIZÁ-LOS!!!";;;;"1027737579897143296";https://twitter.com/_SaraWinter/status/1027737579897143296
Mark_Senkd;2018-08-09 23:04;71;165;"#EstouComBolsonaro Bolsonaro encurrala Alckmin . O policial precisa ser valorizado e o cidadão foi desarmado pelo referendo apoiado pelo PSDB. pic.twitter.com/aYRNeGsazR";;;#EstouComBolsonaro;"1027737487987429377";https://twitter.com/Mark_Senkd/status/1027737487987429377
geocaio_;2018-08-09 23:04;176;563;"Bolsonaro e Alckmin falando sobre segurança pública #DebateBand pic.twitter.com/as0A6M38Cv";;;#DebateBand;"1027737466990743553";https://twitter.com/geocaio_/status/1027737466990743553
rehventura;2018-08-09 23:04;216;417;"Alckmin falando que vai enfrentar o crime organizado pic.twitter.com/wmfzBoGrgX";;;;"1027737426742140928";https://twitter.com/rehventura/status/1027737426742140928
Pernetinha1;2018-08-09 23:03;51;112;"o alckmin vai enfrentar o crime organizado. O alckmin . Ele q sufocou tão maravilhosamente o crescimento do PCC";;;;"1027737102090481664";https://twitter.com/Pernetinha1/status/1027737102090481664
sensacionalista;2018-08-09 23:03;213;889;"#DebateBand Brasileiro tem ataque de pânico ao se dar conta que Alckmin terá quase metade do tempo de propaganda na TV";;;#DebateBand;"1027737077797007361";https://twitter.com/sensacionalista/status/1027737077797007361
locker_str;2018-08-09 22:54;77;95;"#DebateBand mostrou no primeiro bloco: 1) Alckmin e Marina repetindo td (saneamento básico) 2) Cabo Daciolo um talibã radical c/uma dinamite 3) Alvaro Dias enrolado 4) Boulos e Ciro ignorados 5) @jairbolsonaro jogando certinho... #CapitãoNaBand";;@jairbolsonaro;#DebateBand #Capit;"1027734799065198592";https://twitter.com/locker_str/status/1027734799065198592
Adriano3Luis;2018-08-09 22:52;223;585;"Depois do primeiro bloco podemos concluir : Boulos : destemperado, agressivo. Álvaro Dias: chato, sem sal Alckmin : muito chato Marina: não fede e nem cheira Ciro : apagado Bolsonaro : tranquilo, equilibrado. #EstouComBolsonaro";;;#EstouComBolsonaro;"1027734366267555840";https://twitter.com/Adriano3Luis/status/1027734366267555840
geocaio_;2018-08-09 22:48;249;518;"Eu vendo as propostas do Alckmin #DebateBand pic.twitter.com/5FpErj64xU";;;#DebateBand;"1027733335110508545";https://twitter.com/geocaio_/status/1027733335110508545
matsoares__;2018-08-09 22:47;59;179;"Menino Alckmin roubando merenda da criança direto do prato #DebateBAND pic.twitter.com/1JziWhiy6e";;;#DebateBAND;"1027733093313118208";https://twitter.com/matsoares__/status/1027733093313118208
leandroruschel;2018-08-09 22:46;224;929;"Marina ficou 24 anos no PT e pergunta para Alckmin sobre aliança com partidos sujos....";;;;"1027732988468060160";https://twitter.com/leandroruschel/status/1027732988468060160
franciscomacsoa;2018-08-09 22:46;61;154;"#Bolsonaro2018 Todos mirando só o Alckmin pra perguntar , tão só lutando pela segunda colocação Que piada kkkkkkkkkkkkkkk O Mito tá aguardando as perguntas... pic.twitter.com/Xmh9wfTQU2";;;#Bolsonaro2018;"1027732926191022081";https://twitter.com/franciscomacsoa/status/1027732926191022081
CorrupcaoMemes;2018-08-09 22:46;121;511;"Geraldo Alckmin e Marina Silva conversando parece conversa daqueles tiozão que fica bebo no bar e fala nada com nada";;;;"1027732904514908161";https://twitter.com/CorrupcaoMemes/status/1027732904514908161
SchuldinerSieg;2018-08-09 22:45;55;190;"Pensei que o ALCKMIN iria confundir o partido novo com a rede igual ele fez com a Angélica e a Eliana. #EstouComBolsonaro";;;#EstouComBolsonaro;"1027732717167890432";https://twitter.com/SchuldinerSieg/status/1027732717167890432
geocaio_;2018-08-09 22:45;243;665;"Pra cortar gastos, o Alckmin tirou a merenda das crianças. #DebateBand";;;#DebateBand;"1027732546581217280";https://twitter.com/geocaio_/status/1027732546581217280
pauloap;2018-08-09 23:28;169;395;"PROCURANDO OS ELEITORES DO ALCKMIN #BolsonaroNaBand pic.twitter.com/ESGUSI75iu";;;#BolsonaroNaBand;"1027743335077818368";https://twitter.com/pauloap/status/1027743335077818368
klaustrofobiatv;2018-08-09 23:21;36;169;"Pra ninguém mais discutir, eu fiz um candidato com a cara do Alckmin , o cabelo do Bolsonaro, sobrancelha do Daciolo, barba do Boulos, nariz do Ciro Gomes e a boca da Marina. Será que já resolve? #DebateBand pic.twitter.com/WOlQ7BmKJG";;;#DebateBand;"1027741679091113985";https://twitter.com/klaustrofobiatv/status/1027741679091113985
GABRELPlNHEIRO;2018-08-09 23:11;81;178;"#BolsonaroNaBand Alckmin defendendo os sindicatos";;;#BolsonaroNaBand;"1027739162085142533";https://twitter.com/GABRELPlNHEIRO/status/1027739162085142533
Aracelli_SM;2018-08-09 23:08;14;26;"alckmin não transmite confiança. Todo mundo sabe que quem manda em sp é o pcc pq o governador alckmin não passa de um frouxo #EstouComBolsonaro";;;#EstouComBolsonaro;"1027738332820905984";https://twitter.com/Aracelli_SM/status/1027738332820905984
raulchequer;2018-08-09 23:05;198;839;"Tem um pessoal meio alterado lá no debate e a especialidade médica do Alckmin é anestesiologia. Só queria deixar essa informação que vi no wikipedia aqui.";;;;"1027737791197794306";https://twitter.com/raulchequer/status/1027737791197794306
safbf;2018-08-09 23:04;52;179;"Alckmin fala da juventude como vítima, mas "esquece" de mencionar que essa juventude é negra e vítima de uma guerra às drogas racista.";;;;"1027737518765236225";https://twitter.com/safbf/status/1027737518765236225
assimdisseojoao;2018-08-09 23:02;137;295;"Gostaria de perguntar aos dois candidatos com denuncias de serem ligados com as facções (Geraldo Alckmin - PCC, Bolsonariano - milícias no rio) qual sua opinião sobre facções criminosas.";;;;"1027736975976148992";https://twitter.com/assimdisseojoao/status/1027736975976148992
Glauber_Braga;2018-08-09 23:02;74;198;"Boulos foi o candidato no debate que, com todas as letras, disse que vai reverter as medidas adotadas pelo governo Temer, entre elas a “reforma” trabalhista. Já Bolsonaro disse que o trabalhador tem que ter menos direitos e Alckmin elogiou o desmonte da CLT promovido por Temer.";;;;"1027736915024510981";https://twitter.com/Glauber_Braga/status/1027736915024510981
nadanovonofront;2018-08-09 23:02;49;184;"O Rafael Colombo perdeu uma oportunidade única de contrapor Ciro e Alckmin sobre PCC. Escolheu Bolsonaro ao invés de Ciro";;;;"1027736799064612865";https://twitter.com/nadanovonofront/status/1027736799064612865
Itspedrito;2018-08-09 22:59;259;593;"ALCKMIN DEVOLVE A MERENDAAAAA #DebateBand pic.twitter.com/690b3ktmbz";;;#DebateBand;"1027736142534324224";https://twitter.com/Itspedrito/status/1027736142534324224
FR_BSB;2018-08-09 22:53;130;484;"Resumo do 1º bloco do #DebateBand . 1) Boulos atacou Bolsonaro; 2) Bolsonaro fez a “egípcia” e desconversou; 3) Meirelles falou de economia e tomou uma invertida de Alvaro Dias; 4) Alckmin atacou... Marina; 5) cabo Daciolo atacou todos. Ibope: Band em 4º lugar.";;;#DebateBand;"1027734554055008257";https://twitter.com/FR_BSB/status/1027734554055008257
