username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pauloap;2018-08-09 23:21;231;575;"Meirelles e Alvaro Dias conseguiram falar minutos sobre a Venezuela sem citar as palavras SOCIALISMO e COMUNISMO #BolsonaroNaBand";;;#BolsonaroNaBand;"1027741771109949440";https://twitter.com/pauloap/status/1027741771109949440
mizanzuk;2018-08-09 23:21;169;235;"ORA ORA ORA ÁLVARO DIAS VOCÊ FALANDO SOBRE GOVERNOS VIOLENTOS QUE COISA NÃO pic.twitter.com/qg5hQiEG5Z";;;;"1027741755343622145";https://twitter.com/mizanzuk/status/1027741755343622145
jpmachadorocha;2018-08-09 23:21;19;23;"Ponto para o Álvaro Dias por chamar a Venezuela de “ditadura sanguinária”. Dando nome aos bois. #BolsonaroNaBand";;;#BolsonaroNaBand;"1027741722296627200";https://twitter.com/jpmachadorocha/status/1027741722296627200
leticiaaraujoa_;2018-08-09 23:19;15;56;""Minha pergunta é pro Meireles com comentários do Álvaro Dias " Meu Deus me dê paciência pra ouvir esses dois #DebateBand pic.twitter.com/oEWy1wQILX";;;#DebateBand;"1027741194087006208";https://twitter.com/leticiaaraujoa_/status/1027741194087006208
willgomes;2018-08-09 23:09;552;991;"Por que aumenta a violência? Bolsonaro: culpa dos Direitos Humanos Álvaro Dias : falta autoridade Daciolo: falta amor Que debate, amigos. #DebateBand";;;#DebateBand;"1027738690129412099";https://twitter.com/willgomes/status/1027738690129412099
CrisMenshova;2018-08-09 23:05;57;133;"Álvaro Dias é pai do Fábio Junior? #BolsonaroNaBand";;;#BolsonaroNaBand;"1027737737552703494";https://twitter.com/CrisMenshova/status/1027737737552703494
MatheusFilipeBS;2018-08-09 22:59;198;636;"Se a equipe de marketing do Álvaro Dias for inteligente, já pode colocar como slogan: O Brasil tem um CORINGA na manga. #DebateBand pic.twitter.com/cY6jTV4pc2";;;#DebateBand;"1027736086129373185";https://twitter.com/MatheusFilipeBS/status/1027736086129373185
OTiagoAmorim;2018-08-09 22:58;0;0;"Heueheeheueeuhe'";;;;"1027735847276302336";https://twitter.com/OTiagoAmorim/status/1027735847276302336
jovensreacinhas;2018-08-09 22:53;51;224;"Já temos um padrão: Quando os candidatos da direita não querem ser pisoteados eles perguntam para o Alvaro Dias .";;;;"1027734724779941889";https://twitter.com/jovensreacinhas/status/1027734724779941889
Adriano3Luis;2018-08-09 22:52;217;568;"Depois do primeiro bloco podemos concluir : Boulos : destemperado, agressivo. Álvaro Dias : chato, sem sal Alckmin: muito chato Marina: não fede e nem cheira Ciro : apagado Bolsonaro : tranquilo, equilibrado. #EstouComBolsonaro";;;#EstouComBolsonaro;"1027734366267555840";https://twitter.com/Adriano3Luis/status/1027734366267555840
sensacionalista;2018-08-09 22:49;988;3084;"#DebateBand Álvaro Dias pede ao povo brasileiro para abrir o olho porque ele mesmo já não pode mais devido ao botox";;;#DebateBand;"1027733522549755906";https://twitter.com/sensacionalista/status/1027733522549755906
sensacionalista;2018-08-09 22:48;222;1029;"Alvaro Dias manda povo abrir o olho e dá contato de seu cirurgião plástico #debateband";;;#debateband;"1027733516392517633";https://twitter.com/sensacionalista/status/1027733516392517633
legadodacopa;2018-08-09 22:48;103;390;"COLOCARAM ALGUMA COISA NA AGUA DO ALVARO DIAS";;;;"1027733456669818881";https://twitter.com/legadodacopa/status/1027733456669818881
risardinha;2018-08-09 22:48;94;292;"o candidato álvaro dias pic.twitter.com/QPL5MaIU6W";;;;"1027733348943376384";https://twitter.com/risardinha/status/1027733348943376384
ehomath;2018-08-09 22:47;135;538;"Alvaro Dias respondendo o Meirelles #DebateBand pic.twitter.com/p07cRijGEy";;;#DebateBand;"1027733253409656833";https://twitter.com/ehomath/status/1027733253409656833
deborista;2018-08-09 22:46;75;310;"gente eu pagaria qualquer valor pro alvaro dias olhar pra câmera e falar CARNE E UNHA ALMA GÊMEA BATEEE CORAÇÃOOO";;;;"1027732856058142720";https://twitter.com/deborista/status/1027732856058142720
seubrownie;2018-08-09 22:46;5641;11738;"devia ser proibido um candidato chato perguntar a outro candidato chato alvaro dias : quero perguntar para henrique meirelles mediador: infelizmente não pode, pois ambos são chatos. selecione um candidato do rol de doidos.";;;;"1027732804820525056";https://twitter.com/seubrownie/status/1027732804820525056
