username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LuisCaval1;2018-08-09 23:29;48;82;"Bolsonaro fala dos colégios militares, os alunos desses colégios públicos são referência, estão passando até em Havard! #BolsonaroNaBand";;;#BolsonaroNaBand;"1027743756479541249";https://twitter.com/LuisCaval1/status/1027743756479541249
MarceloDireita;2018-08-09 23:28;5;7;"Twitter motherfuckers, we are clearly seeing the censorship that you are doing with the name of Bolsonaro VAI TOMAR NO CU @TwitterBrasil e @Twitter Mundial. Aqui é Bolsonaro seus lixos! #BolsonaroNaBand #EstouComBolsonaro #EuVotoBolsonaro #Bolsonaro2018 #VTNCTWITTER";;@TwitterBrasil @Twitter;#BolsonaroNaBand #EstouComBolsonaro #EuVotoBolsonaro #Bolsonaro2018 #VTNCTWITTER;"1027743484835442688";https://twitter.com/MarceloDireita/status/1027743484835442688
loserszclub;2018-08-09 23:27;78;194;"O BOLSONARO SÓ FALA DE MILITAR NÃO SABE RESPONDER NADA SEM ENFIAR ISSO NO MEIO #DebateBand pic.twitter.com/ly1poj6KPv";;;#DebateBand;"1027743274948354048";https://twitter.com/loserszclub/status/1027743274948354048
lacerda;2018-08-09 23:27;272;755;"o bolsonaro sabe nem pronunciar harvard e quer ser presidente #DebateBand";;;#DebateBand;"1027743217557676032";https://twitter.com/lacerda/status/1027743217557676032
NaoPadre;2018-08-09 23:26;127;280;"Bolsonaro humilha Alckmin em pergunta sobre Segurança Pública #BolsonaroNaBand pic.twitter.com/x0iVkM4WA3";;;#BolsonaroNaBand;"1027743070551502848";https://twitter.com/NaoPadre/status/1027743070551502848
LuisCaval1;2018-08-09 23:22;127;210;"Bolsonaro é o único que defende a polícia e a respeita! #BolsonaroNaBand";;;#BolsonaroNaBand;"1027741929184870401";https://twitter.com/LuisCaval1/status/1027741929184870401
franciscomacsoa;2018-08-09 23:22;41;81;"Vcs podem derrubar nossas tags Bloquear contas Vão também querer bloquear a internet? Pq nós eleitores de Bolsonaro ficaremos mais fortes e essa estratégia ilegal de vcs , repito, CADA DIA ESTÁ ELEGENDO @jairbolsonaro #EstouComBolsonaro #Bolsonaro2018";;@jairbolsonaro;#EstouComBolsonaro #Bolsonaro2018;"1027741919831629824";https://twitter.com/franciscomacsoa/status/1027741919831629824
gabrielbetkowsk;2018-08-09 23:21;50;92;"Vocês ainda tem duvidas que o @jairbolsonaro Será nosso futuro presidente? #BolsonaroNaBand pic.twitter.com/qInjrMJN9x";;@jairbolsonaro;#BolsonaroNaBand;"1027741736871895040";https://twitter.com/gabrielbetkowsk/status/1027741736871895040
tuliomesmo;2018-08-09 23:20;69;114;"Bolsonaro fala tudo o que pensa e sem se importar se vai perder votos ou desagradar alguém e mesmo sendo líder das pesquisas, essa autenticidade é foda. #BolsonaroNaBand pic.twitter.com/OllwCy0m3C";;;#BolsonaroNaBand;"1027741351079829504";https://twitter.com/tuliomesmo/status/1027741351079829504
terca_livre;2018-08-09 23:18;195;704;"Aparentemente a estratégia é não deixar @jairbolsonaro falar. #DebateBand";;@jairbolsonaro;#DebateBand;"1027740842847596544";https://twitter.com/terca_livre/status/1027740842847596544
