username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SchuldinerSieg;2018-08-09 23:18;90;280;"Gestão!!! "E nós vamos pegar eles (SIC) pela honra do senhor Jesus" Esse Cabo Daciolo é um gerador de memes! Gestão, viu? #BolsonaroNaBand";;;#BolsonaroNaBand;"1027740971516289026";https://twitter.com/SchuldinerSieg/status/1027740971516289026
saleselton;2018-08-09 23:18;219;607;""Se no Estado Unidos deu certo, porque aqui não vai dá certo?" Cabo Daciolo , simples. Estado Unidos é Estado Unidos, Brasil é Brasil. Amor é Amor e um lance é um lance. #debateBand";;;#debateBand;"1027740934975512578";https://twitter.com/saleselton/status/1027740934975512578
geocaio_;2018-08-09 23:17;325;751;"Eu sinto que o Cabo Daciolo vai jogar a bancada pro alto e sair dando porrada nas pessoas a qualquer momento";;;;"1027740714225098752";https://twitter.com/geocaio_/status/1027740714225098752
rodrigodasilva;2018-08-09 23:16;189;719;"Você percebe que as coisas no Brasil não fazem o menor sentido quando se lembra que o Cabo Daciolo foi eleito em 2014 pelo PSOL.";;;;"1027740523795243008";https://twitter.com/rodrigodasilva/status/1027740523795243008
bolivarescobar;2018-08-09 23:15;189;419;""Temos hoje 400 bilhões de sonegadores" rapaz o Cabo Daciolo tem os números da galáxia inteira";;;;"1027740093841395713";https://twitter.com/bolivarescobar/status/1027740093841395713
august_cesar;2018-08-09 23:14;17;66;"Cabo Daciolo acha que tá apresentando o Fala Que Eu Te Esculto #DebateBand";;;#DebateBand;"1027740037545426945";https://twitter.com/august_cesar/status/1027740037545426945
RickSouza;2018-08-09 23:14;170;526;"ESSA CRISE É UMA MENTIRA definitivamente o Cabo Daciolo é o candidato do grupo do Zap #debateBand";;;#debateBand;"1027739967982850050";https://twitter.com/RickSouza/status/1027739967982850050
MatheusFilipeBS;2018-08-09 23:13;51;184;"- O que é preciso pra acabar com a violência no Brasil, Cabo Daciolo ? - Amoooor. #DebateBand pic.twitter.com/yJ5OqQlOPb";;;#DebateBand;"1027739635211010048";https://twitter.com/MatheusFilipeBS/status/1027739635211010048
revistaclaudio;2018-08-09 23:10;107;204;"até agora o único socialista é o cabo daciolo que falou contra os bancos e falou de amor";;;;"1027738968031473664";https://twitter.com/revistaclaudio/status/1027738968031473664
GTMacalossi;2018-08-09 23:09;112;534;"Cabo Daciolo é a segunda pessoa do mundo a falar Dilmês fluentemente. Até então apenas a Dilma sabia fazer isso.";;;;"1027738723444838405";https://twitter.com/GTMacalossi/status/1027738723444838405
SchuldinerSieg;2018-08-09 23:08;166;435;"O Cabo Daciolo é a primeira pessoa que eu vejo que fala de amor com ÓDIO no olhar. Hahahahah #BolsonaroNaBand";;;#BolsonaroNaBand;"1027738457051983873";https://twitter.com/SchuldinerSieg/status/1027738457051983873
nabucodonosor96;2018-08-09 23:08;18;33;"Cabo Daciolo YOU MAY SAY I'M A DREAMER BUT I'M NOT THE ONLY ONE";;;;"1027738397673234432";https://twitter.com/nabucodonosor96/status/1027738397673234432
caiomsaad;2018-08-09 23:08;5;5;"“Where is the love” - Black Eyed Peas feat. Cabo Daciolo";;;;"1027738386411470848";https://twitter.com/caiomsaad/status/1027738386411470848
clarissaaa;2018-08-09 23:07;69;78;""ALL YOU NEED IS LOVE" -- cabo daciolo";;;;"1027738080529264642";https://twitter.com/clarissaaa/status/1027738080529264642
Neydinhaaaa;2018-08-09 22:58;70;177;"eu cada vez que bolsonaro e esse cabo daciolo falam #DebateBand pic.twitter.com/AfTpegglFh";;;#DebateBand;"1027735935046303744";https://twitter.com/Neydinhaaaa/status/1027735935046303744
JornalOGlobo;2018-08-09 22:45;709;1466;"Conheça Cabo Daciolo , o pastor presidenciável que promete expulsar o demônio do Planalto. https:// glo.bo/2AZicFU pic.twitter.com/jMgIzggo9L";;;;"1027732623966265344";https://twitter.com/JornalOGlobo/status/1027732623966265344
Gui_Amutti;2018-08-09 22:28;0;0;"HURHUEHEUEGEUEGEUEGEUEHUEHEUEHEUEHEUEHUEHEUEHEUEHEU CABO DACIOLO KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK GLÓRIA DELS, ALELUIA SENHOR #DebateBand";;;#DebateBand;"1027728298837725184";https://twitter.com/Gui_Amutti/status/1027728298837725184
msantoro1978;2018-08-09 22:27;2078;4125;"Cabo Daciolo é um grupo de WhatsApp em forma de candidato à Presidência da República.";;;;"1027728225055723520";https://twitter.com/msantoro1978/status/1027728225055723520
sensacionalista;2018-08-09 22:07;1677;4257;"Curiosidade: Cabo Daciolo foi avisado que é candidato à presidência minutos antes do debate pic.twitter.com/WLcCDpCEmG";;;;"1027723130301804545";https://twitter.com/sensacionalista/status/1027723130301804545
assimdisseojoao;2018-08-09 22:07;867;1784;"Cabo Daciolo , e o desemprego? GLORIA A DEUS O SENHOR DE ISRAEL EM NOME DO CRISTO REI AMEN ALELUIA APLAUDE DE PÉ ASSEMBLÉIA";;;;"1027723076857999360";https://twitter.com/assimdisseojoao/status/1027723076857999360
mas_que_mario;2018-08-09 23:21;80;112;"Cabo Daciolo : Tem 400 bilhão de sonegadores #DebateBand pic.twitter.com/zmYMADTLXE";;;#DebateBand;"1027741813296308225";https://twitter.com/mas_que_mario/status/1027741813296308225
FernandoHoliday;2018-08-09 23:20;81;626;"O Cabo Daciolo é a diversão da noite em um debate de baixa qualidade. #DebateBand";;;#DebateBand;"1027741563303219200";https://twitter.com/FernandoHoliday/status/1027741563303219200
