username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
anttrindade;2018-08-09 23:29;31;147;"ciro gomes pisa demais";;;;"1027743620466716674";https://twitter.com/anttrindade/status/1027743620466716674
nadanovonofront;2018-08-09 23:26;26;99;"Em 45 segundos Ciro Gomes vai tratorar o Bolsonaro";;;;"1027742933024497665";https://twitter.com/nadanovonofront/status/1027742933024497665
LannesDelRey;2018-08-09 23:26;18;74;"Vai começar o casos de família Jair Bolsonaro x Ciro Gomes #DebateBand";;;#DebateBand;"1027742905740525568";https://twitter.com/LannesDelRey/status/1027742905740525568
VictorLinhares;2018-08-09 23:20;0;0;"@cirogomes , um gentleman. XD";;@cirogomes;;"1027741426757586944";https://twitter.com/VictorLinhares/status/1027741426757586944
nadanovonofront;2018-08-09 23:14;38;179;"Eu posso não concordar com as propostas do Ciro Gomes , mas, bem, ele as apresenta ao menos.";;;;"1027739936777273344";https://twitter.com/nadanovonofront/status/1027739936777273344
sensacionalista;2018-08-09 23:14;166;633;"#DebateBand Ditado "Se não é verdade, é muito bem contado" foi inventado para definir Ciro Gomes";;;#DebateBand;"1027739898441359366";https://twitter.com/sensacionalista/status/1027739898441359366
mjcosta_;2018-08-09 23:14;79;468;"A cada duas palavras do Ciro Gomes , três são "China".";;;;"1027739870935113729";https://twitter.com/mjcosta_/status/1027739870935113729
_fIavio;2018-08-09 23:13;50;202;"Meu Deus Quem chama o Ciro Gomes de gênio merece apanhar de gato morto até ele miar";;;;"1027739721403756544";https://twitter.com/_fIavio/status/1027739721403756544
samiraclose;2018-08-09 23:12;74;261;"Ciro Gomes massacra na inteligencia #DebateDaBand pic.twitter.com/LgHNDSQ60x";;;#DebateDaBand;"1027739535936040960";https://twitter.com/samiraclose/status/1027739535936040960
destak;2018-08-09 23:11;52;140;"Se eleito, Ciro Gomes quer propor nova reforma trabalhista: “não é introduzindo insegurança jurídica e econômica que se resolverá o problema. A reforma deve proteger o mais fraco na luta contra o mais forte”, afirma. #debateband #Destaknodebate";;;#debateband #Destaknodebate;"1027739207056416768";https://twitter.com/destak/status/1027739207056416768
Guilhermevechio;2018-08-09 23:11;14;76;"Ciro Gomes escrachando reforma trabalhista feita por temer e apoiada por PSDB #DebateBand";;;#DebateBand;"1027739070431154176";https://twitter.com/Guilhermevechio/status/1027739070431154176
JoselitoMuller3;2018-08-09 23:09;40;206;"Pergunta ao candidato Ciro Gomes : o senhor vai fazer a inflação aumentar ou é só impressão minha? #DebateBand";;;#DebateBand;"1027738797251780609";https://twitter.com/JoselitoMuller3/status/1027738797251780609
Felippe_Hermes;2018-08-09 23:05;32;171;"Quero memes do Ciro Gomes que ia destruir no debate mas esqueceu que ninguém se importa com ele pra fazer pergunta.";;;;"1027737701171294208";https://twitter.com/Felippe_Hermes/status/1027737701171294208
cesaraustocesar;2018-08-09 23:04;28;62;"Ciro Gomes #DebateBand pic.twitter.com/TEiuDKKzYq";;;#DebateBand;"1027737418198384641";https://twitter.com/cesaraustocesar/status/1027737418198384641
astridfontenell;2018-08-09 23:01;63;359;"Por aue não perguntam pro Ciro Gomes ??";;;;"1027736554675032064";https://twitter.com/astridfontenell/status/1027736554675032064
strangrish;2018-08-09 22:57;347;267;"rt @cirogomes https:// twitter.com/pliniodearruda /status/410129232694489089 …";;@cirogomes;;"1027735757786685441";https://twitter.com/strangrish/status/1027735757786685441
srconti;2018-08-09 22:44;31;62;"daqui a pouco o ciro gomes vai tá postando o link do curiouscat dele pra alguém fazer uma pergunta";;;;"1027732356814331904";https://twitter.com/srconti/status/1027732356814331904
PolitzOficial;2018-08-09 22:43;110;665;"#DebateBand : Jair Bolsonaro se mostra sereno e está evitando o embate com outros candidatos, focando no candidato Álvaro Dias. A dupla Geraldo Alckmin e Marina Silva também estão dirigindo as perguntas um para o outro. Ciro Gomes e outros permanecem anônimos no debate.";;;#DebateBand;"1027732260580204544";https://twitter.com/PolitzOficial/status/1027732260580204544
CiroGomesRN;2018-08-09 22:41;16;37;"Todos estão evitando debater com o Ciro Gomes kkkkkk #CiroGomesNaBand #CiroNaBand";;;#CiroGomesNaBand #CiroNaBand;"1027731688804237312";https://twitter.com/CiroGomesRN/status/1027731688804237312
lalalarelarinha;2018-08-09 22:19;530;1054;"Ciro Gomes começa a falar e mexer a mãozinha minha cabeça da branco e aparece isso aqui pic.twitter.com/CKhxqGsXbv";;;;"1027726081774833669";https://twitter.com/lalalarelarinha/status/1027726081774833669
paula1be;2018-08-09 23:28;2;3;"o ciro gomes parece aqueles caras q ficam decorando dado pra por na redação do enem";;;;"1027743453655040000";https://twitter.com/paula1be/status/1027743453655040000
_ibras;2018-08-09 23:26;5;19;"BONORO E CIRO GOMES VAI COMECAR FINALMENTE OBRIGADO DEUS";;;;"1027743065983864833";https://twitter.com/_ibras/status/1027743065983864833
PDT_Nacional;2018-08-09 23:26;3;17;"#CiroNaBand Pergunta para Jair Bolsonaro sobre investimento em educação com comentário de Ciro Gomes";;;#CiroNaBand;"1027743062305513472";https://twitter.com/PDT_Nacional/status/1027743062305513472
klaustrofobiatv;2018-08-09 23:21;29;134;"Pra ninguém mais discutir, eu fiz um candidato com a cara do Alckmin, o cabelo do Bolsonaro, sobrancelha do Daciolo, barba do Boulos, nariz do Ciro Gomes e a boca da Marina. Será que já resolve? #DebateBand pic.twitter.com/WOlQ7BmKJG";;;#DebateBand;"1027741679091113985";https://twitter.com/klaustrofobiatv/status/1027741679091113985
bilinguer;2018-08-09 23:12;14;17;"acho q ciro gomes eh capaz de me convencer a entrar na hinode";;;;"1027739556362309632";https://twitter.com/bilinguer/status/1027739556362309632
Klixito;2018-08-09 23:11;167;445;"Bolsonaro quando o Ciro Gomes começa a falar de economia #DebateBand pic.twitter.com/cqh0qn9Wnq";;;#DebateBand;"1027739085258014721";https://twitter.com/Klixito/status/1027739085258014721
PDT_Nacional;2018-08-09 23:09;15;60;"#CiroNaBand Jornalista pergunta para Ciro Gomes sobre reforma trabalhista e da previdência e quem comenta é Geraldo Alckmin";;;#CiroNaBand;"1027738628129267713";https://twitter.com/PDT_Nacional/status/1027738628129267713
anarcomiguxos;2018-08-09 23:09;54;244;"É impressão minha ou todo mundo fugiu de fazer pergunta ao Ciro Gomes ? #debateband";;;#debateband;"1027738594708992000";https://twitter.com/anarcomiguxos/status/1027738594708992000
exuliane;2018-08-09 23:06;39;133;"ciro gomes agora: ninguém quer me pergunta nada sera se sou feio";;;;"1027737991089979392";https://twitter.com/exuliane/status/1027737991089979392
CiroGomesRN;2018-08-09 23:06;9;19;"Porque será que não perguntam a Ciro Gomes ? #CiroNaBand";;;#CiroNaBand;"1027737882646204428";https://twitter.com/CiroGomesRN/status/1027737882646204428
CirogomesPE;2018-08-09 23:03;12;18;"" deus me livre fazer pergunta para o Ciro Gomes ,do jeito que ele é inteligente e preparado vai me fazer passar vergonha " #CiroNaBand";;;#CiroNaBand;"1027737144759078912";https://twitter.com/CirogomesPE/status/1027737144759078912
ViiPortela;2018-08-09 22:31;18;46;"#CiroNaBand #CiroPresidente12 O Ciro Gomes me dando novo gosto por política.";;;#CiroNaBand #CiroPresidente12;"1027729148243070976";https://twitter.com/ViiPortela/status/1027729148243070976
GTMacalossi;2018-08-09 22:26;62;199;"Ciro Gomes tem essa capacidade incrível de vomitar números, estatísticas e constatações furadas. O que ele falou sobre a reforma trabalhista não faz o menor sentido. A Alemanha é um pais que paga bem seus trabalhadores, mas é muito mais livre que o Brasil.";;;;"1027727786516119552";https://twitter.com/GTMacalossi/status/1027727786516119552
brunobonsanti;2018-08-09 22:22;67;126;"Alckmin x Ciro Gomes O DÉRBI DE PINDAMONHANGABA";;;;"1027726809578831872";https://twitter.com/brunobonsanti/status/1027726809578831872
joicehasselmann;2018-08-09 22:19;662;2857;"Ciro Gomes apresentou uma proposta “GENIAL” para gerar emprego. Ele disse que “vai pagar as dívidas só Serasa e SPC dos endividados”. Então tá resolvido: NINGUÉM MAIS PAGA CONTA PQ CIRÃO VAI PAGAR TUDO! Baita idiota mesmo";;;;"1027726199819313154";https://twitter.com/joicehasselmann/status/1027726199819313154
MatheusPz_42;2018-08-09 22:18;223;416;"sempre que o Ciro Gomes fala eu fico esperando ele mandar esse passinho pic.twitter.com/Oo97PhTkX4";;;;"1027725963164098560";https://twitter.com/MatheusPz_42/status/1027725963164098560
CorrupcaoMemes;2018-08-09 22:18;110;349;"Lá vem o Ciro Gomes falar em pagar a dívida do país inteiro tirando dinheiro de lugar nenhum pic.twitter.com/aqqEgULkKr";;;;"1027725933090955264";https://twitter.com/CorrupcaoMemes/status/1027725933090955264
mariliaalvesdep;2018-08-09 22:17;21;36;"#EuVotoBolsonaro Ciro Gomes vai pagar todas as dívidas dos brasileiros ķkkkkkkkkk";;;#EuVotoBolsonaro;"1027725661883052032";https://twitter.com/mariliaalvesdep/status/1027725661883052032
leandroruschel;2018-08-09 22:17;88;390;"Boa noite. Meu nome é Ciro Gomes , mas pode me chamar de Nicolás Maduro.";;;;"1027725660721217536";https://twitter.com/leandroruschel/status/1027725660721217536
