username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
calu_barros;2018-08-09 23:32;4;43;"Mais difícil do que acabar com a corrupção, é ouvir uma conversa entre Alvaro Dias, Geraldo Alckmin, Henrique Meirelles e Marina Silva e não dormir. #DebateComLula #DebateNaBand";;;#DebateComLula #DebateNaBand;"1027744397310525441";https://twitter.com/calu_barros/status/1027744397310525441
Dudu;2018-08-09 23:22;75;218;"Henrique Meirelles criticando o atual governo #DebateBand pic.twitter.com/n1OGyxTaEX";;;#DebateBand;"1027742009791000577";https://twitter.com/Dudu/status/1027742009791000577
MaurilioBarbosa;2018-08-09 23:22;14;39;"Henrique Meirelles é tão foda que ele vai resolver os problemas do Brasil e da Venezuela. #DebateBand";;;#DebateBand;"1027741924755693569";https://twitter.com/MaurilioBarbosa/status/1027741924755693569
ondejahcivil;2018-08-09 23:22;7;13;"Henrique Meirelles está morto e todas as fotos que vemos dele são ele empalhado";;;;"1027741890274312192";https://twitter.com/ondejahcivil/status/1027741890274312192
diImabr;2018-08-09 23:22;83;462;"Gente, realmente deve estar faltando assunto num debate presidencial com o país no buraco em que está, para termos Henrique Meirelles e Alvaro Dias discutindo sobre VENEZUELA. #DebateBand";;;#DebateBand;"1027741890240765952";https://twitter.com/diImabr/status/1027741890240765952
FallenMisery00;2018-08-09 23:20;43;96;"URGENTE CANDIDATO HENRIQUE MEIRELLES ATACA OS CANDIDATOS SOLTANDO LASER pic.twitter.com/v2TetgaFQx";;;;"1027741378321756160";https://twitter.com/FallenMisery00/status/1027741378321756160
MarquesZero;2018-08-09 23:19;41;189;"Henrique Meirelles percebe ao vivo que continua vivo e consegue respirar pic.twitter.com/gyxDWIewN7";;;;"1027741209803014144";https://twitter.com/MarquesZero/status/1027741209803014144
oqdissehelena;2018-08-09 22:57;7;20;"tradução do gráfico: 1 pesquisam por geraldo pra saber como se escreve alckimin 2 pesquisam por henrique meirelles pra saber quem é henrique meirelles 3 pesquisam por marina silva pra saber o q marina silva faz no resto do ano 4 pesquisam ciro gomes memes 5 quem é cabo daciolo pic.twitter.com/tdmJdmOurO";;;;"1027735775826374661";https://twitter.com/oqdissehelena/status/1027735775826374661
catchthbreeze;2018-08-09 22:56;149;396;"HENRIQUE MEIRELLES TEM MEU VOTO SÓ POR TER FALTADO À HEMODIÁLISE PRA COMPARECER AO DEB]ATE";;;;"1027735481923121154";https://twitter.com/catchthbreeze/status/1027735481923121154
conexaopolitica;2018-08-09 22:53;33;192;"#DebateBand : Henrique Meirelles questiona Alvaro Dias sobre fracasso do governo do PT. Alvaro rebate: "O senhor que esteve lá", referindo-se ao fato de Meirelles ter sido presidente do Banco Central. Meirelles alega que não esteve no governo Dilma.";;;#DebateBand;"1027734630848503809";https://twitter.com/conexaopolitica/status/1027734630848503809
lucaroun;2018-08-09 22:50;15;65;"Henrique Meirelles representa tudo o que devemos lutar contra velho branco rico bancos";;;;"1027733785201266690";https://twitter.com/lucaroun/status/1027733785201266690
BrunoGarschagen;2018-08-09 22:49;62;651;"Muito empolgante esse diálogo entre Alvaro Dias e Henrique Meirelles . Só faltou o Eduardo Suplicy. #DebateBand";;;#DebateBand;"1027733756071702529";https://twitter.com/BrunoGarschagen/status/1027733756071702529
marceloindaniel;2018-08-09 22:49;44;61;"Candidato Henrique Meirelles #DebateBand pic.twitter.com/vaL9y7cICZ";;;#DebateBand;"1027733602904227840";https://twitter.com/marceloindaniel/status/1027733602904227840
cassianotrouble;2018-08-09 22:47;20;35;"Henrique Meirelles pic.twitter.com/gdp7xiUjXQ";;;;"1027733108450316290";https://twitter.com/cassianotrouble/status/1027733108450316290
radardamidia;2018-08-09 22:47;25;171;"Álvaros Dias e Henrique Meirelles ... duas múmias da velha e corroída política. Sem expressão, sem autenticidade. #DebateBand";;;#DebateBand;"1027733040695599105";https://twitter.com/radardamidia/status/1027733040695599105
naosoumario;2018-08-09 22:46;65;122;""o candidato Henrique Meirelles pergunta para o candidato Álvaro Dias" pic.twitter.com/M51Tp18jqq";;;;"1027732826169532417";https://twitter.com/naosoumario/status/1027732826169532417
seubrownie;2018-08-09 22:46;5897;12449;"devia ser proibido um candidato chato perguntar a outro candidato chato alvaro dias: quero perguntar para henrique meirelles mediador: infelizmente não pode, pois ambos são chatos. selecione um candidato do rol de doidos.";;;;"1027732804820525056";https://twitter.com/seubrownie/status/1027732804820525056
myqandrade;2018-08-09 22:46;30;98;"henrique meirelles se você tapar o rosto dele no debate é como se fosse o seu peru disputando a presidência";;;;"1027732797316849664";https://twitter.com/myqandrade/status/1027732797316849664
nadanovonofront;2018-08-09 22:46;159;305;"Álvaro Dias x Henrique Meirelles é o Panamá x Tunísia desse debate";;;;"1027732781550526464";https://twitter.com/nadanovonofront/status/1027732781550526464
samjovana;2018-08-09 22:45;16;50;"nossa eu achei que o henrique meirelles tinha morrido ao longo do debate";;;;"1027732742157549570";https://twitter.com/samjovana/status/1027732742157549570
rapho_;2018-08-09 23:24;8;15;"HENRIQUE MEIRELLES FALANDO PARECE O BONEQUINHO DA LUFTAL #DebateBand pic.twitter.com/q9gYnmruTr";;;#DebateBand;"1027742371738476544";https://twitter.com/rapho_/status/1027742371738476544
elciok;2018-08-09 23:21;11;21;"Henrique Meirelles gosta muito de apontar com os dedos aumentando em 300% o meme do salgado";;;;"1027741727837364225";https://twitter.com/elciok/status/1027741727837364225
alechandracomix;2018-08-09 23:19;31;91;"o henrique meirelles ta interpretando o agildo ribeiro";;;;"1027741128735514624";https://twitter.com/alechandracomix/status/1027741128735514624
tristecinha;2018-08-09 23:19;11;58;"henrique meirelles olho pra ele me preocupo de ele tombar morto";;;;"1027741070023696384";https://twitter.com/tristecinha/status/1027741070023696384
