username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
marinadolacre;2018-08-09 23:28;3;5;"Marina Silva defendeu que a população seja ouvida pra decidir o ponto do aborto. Postura democrática e republicana";;;;"1027743423657324544";https://twitter.com/marinadolacre/status/1027743423657324544
humanas_doc;2018-08-09 23:28;10;16;"O ano é 2090 Marina Silva se candidata novamente a presidência pela 383992 vez";;;;"1027743402794860544";https://twitter.com/humanas_doc/status/1027743402794860544
conexaopolitica;2018-08-09 23:26;12;53;"#DebateBand : Marina Silva se posiciona e diz que se necessário o aborto será legalizado em seu governo.";;;#DebateBand;"1027742989228167168";https://twitter.com/conexaopolitica/status/1027742989228167168
PauladaSJM;2018-08-09 23:09;0;0;"HAUEHAUEHAUEH";;;;"1027738651093069826";https://twitter.com/PauladaSJM/status/1027738651093069826
AlessandroMPG;2018-08-09 23:07;10;14;"A melhor candidata, sem dúvidas! Marina Silva .";;;;"1027738251350757377";https://twitter.com/AlessandroMPG/status/1027738251350757377
Desesquerdizada;2018-08-09 23:02;116;568;"De @marinasilva no #DebateBand : "O teto realmente congela os gastos em saúde, educação e segurança". FALSO: O teto de gastos possui um PISO (e não um teto) de gastos para saúde e educação.";;@marinasilva;#DebateBand;"1027736862058835968";https://twitter.com/Desesquerdizada/status/1027736862058835968
rechiando;2018-08-09 22:59;3;13;"“Nature ain’t a fruit machine she’s gotta keep her credits clean” - Marina and the Árvores #DebateBand #MarinaSilva pic.twitter.com/FPCveCiXn3";;;#DebateBand #MarinaSilva;"1027736124834373632";https://twitter.com/rechiando/status/1027736124834373632
matmper;2018-08-09 22:58;221;712;"#DebateBand coisas que ocorrem de 4 em 4 anos: copa do mundo, olimpíadas e a aparição da Marina Silva pic.twitter.com/9OQfseFmGM";;;#DebateBand;"1027735914632683520";https://twitter.com/matmper/status/1027735914632683520
Natty_Sousa;2018-08-09 22:51;266;604;"A mulher ainda é tão menosprezada ao tratar-se de cargos superiores. Que ao invés da galera captar o que Marina Silva diz, estão julgando sua aparência e modo de falar. Só mostra que o Brasil ainda tem muito que avançar. Principalmente tratando-se de educação.";;;;"1027734067905785857";https://twitter.com/Natty_Sousa/status/1027734067905785857
DMXBH;2018-08-09 22:49;24;132;"Marina Silva encabulada com a burrice do Boulos... #DebateBand pic.twitter.com/O0sadtua87";;;#DebateBand;"1027733553243664384";https://twitter.com/DMXBH/status/1027733553243664384
rubycmila;2018-08-09 22:48;39;112;"Marina Silva sensatissima. Votem no diamante amazônico, a mãe natureza #DebateBand pic.twitter.com/GrSM7yxUWo";;;#DebateBand;"1027733421848756230";https://twitter.com/rubycmila/status/1027733421848756230
