username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Mari_Jurema;2018-08-10 08:09;9;6;"É dessa maneira que o Alckmin trata os professores de São Paulo pic.twitter.com/ZT9sEjM1fp";;;;"1027874499310575618";https://twitter.com/Mari_Jurema/status/1027874499310575618
benebarbosa_mvb;2018-08-10 08:04;19;341;"Não tenho nenhuma simpatia pelo Alckmin e isso não é segredo, mas o xaplau que ele deu na Marina "Selva" foi lindo! hahahaha";;;;"1027873425438781440";https://twitter.com/benebarbosa_mvb/status/1027873425438781440
EricoDietrich;2018-08-10 06:47;11;51;"Alckmin , falou, roubou é cadeia, ué será que ele vai entregar-se?";;;;"1027853915281403907";https://twitter.com/EricoDietrich/status/1027853915281403907
Clauwild1;2018-08-10 04:26;210;846;"O debate da Band teve de tudo: ex-PSOL(Daciolo)sem lacrar e citando Dr.Eneas; Boulos bancando o legalista;Ciro desdizendo o que disse; Alckmin e Marina causando sono no telespectador; Álvaro Dias e Meireles fazendo de conta que não são do sistema e Bolsonaro mostrando a que veio.";;;;"1027818376012419072";https://twitter.com/Clauwild1/status/1027818376012419072
Forbes;2018-08-10 02:00;26;42;"In Brazil, market predicts the presidential election to be Bolsonaro vs. Alckmin http:// on.forbes.com/6016DQRSQ pic.twitter.com/Sjz8GLl61r";;;;"1027781594369728513";https://twitter.com/Forbes/status/1027781594369728513
ballaoficial;2018-08-10 01:51;257;981;"O debate foi bom, comprovou que: - Daciolo é maluco - Dias toma remédio - Alckmin mente, muito - Meirelles é o Munn-Rá - Boulos é um adolescente - Ciro é o gênio da lâmpada - Marina não vive neste planeta - Bolsonaro não têm hemorroidas #DebateBand";;;#DebateBand;"1027779446223331328";https://twitter.com/ballaoficial/status/1027779446223331328
_marcosapc;2018-08-10 01:49;77;94;"Quem venceu o #DebateBand ? Ciro, Alckmin , Bolsonaro, ou Daciolo? Se foi Marina, Boulos, Álvaro Dias ou Meirelles, vote na outra enquete";;;#DebateBand;"1027779045549850624";https://twitter.com/_marcosapc/status/1027779045549850624
boliviazica;2018-08-10 01:29;722;2633;"Boulos: 50 tons de Temer Ciro: vou limpar seu nome Marina: sou um milagre social Bolsonaro: meu auxílio-moradia é pra pagar o IPTU e comer gente Alckmin : Cadê minha merenda? Álvaro: t_amo_SejoMoro Cabo: Glória a Deus Nosso Senhor Jesus Cristo Meirelles: blghblghttlsglub";;;;"1027774025551044609";https://twitter.com/boliviazica/status/1027774025551044609
Vanessa99954600;2018-08-10 01:29;112;372;"Resumindo #DebateBand : Marina: - plante uma árvore! Alckmin : - privatiza geral; Bolsonaro: “roubou, corta a mão” Boulos: - chama a Dilmãe Meirelles: (dormi nas falas dele) Ciro: o milagroso Cabo Daciolo: - é pra glorificar de pé, igreja! Álvaro Dias: carne e unha, alma gêmea...";;;#DebateBand;"1027773934668787713";https://twitter.com/Vanessa99954600/status/1027773934668787713
WinstonLing;2018-08-10 01:26;171;365;"Esse vídeo é para os seguidores do Alckmin pic.twitter.com/KhJsMWSgNe";;;;"1027773194609016833";https://twitter.com/WinstonLing/status/1027773194609016833
