username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
alvarodias_;2018-08-10 08:02;14;53;"Depois de mais de três horas de debate na Band, o candidato Alvaro Dias agradeceu aos amigos e apoiadores pela torcida e pela mobilização nas redes sociais #AlvaroDias #JuntosPodemosMais pic.twitter.com/CLh6Za0jVI";;;#AlvaroDias #JuntosPodemosMais;"1027872718849548288";https://twitter.com/alvarodias_/status/1027872718849548288
Clauwild1;2018-08-10 04:26;210;845;"O debate da Band teve de tudo: ex-PSOL(Daciolo)sem lacrar e citando Dr.Eneas; Boulos bancando o legalista;Ciro desdizendo o que disse; Alckmin e Marina causando sono no telespectador; Álvaro Dias e Meireles fazendo de conta que não são do sistema e Bolsonaro mostrando a que veio.";;;;"1027818376012419072";https://twitter.com/Clauwild1/status/1027818376012419072
_marcosapc;2018-08-10 01:49;77;94;"Quem venceu o #DebateBand ? Ciro, Alckmin, Bolsonaro, ou Daciolo? Se foi Marina, Boulos, Álvaro Dias ou Meirelles, vote na outra enquete";;;#DebateBand;"1027779045549850624";https://twitter.com/_marcosapc/status/1027779045549850624
quoththeraiven;2018-08-10 01:39;19;51;"Resumo do debate: Álvaro Dias e Henrique Meirelles: zzZzzZzZ Marina: o mais do mesmo de sempre Boulos: 50 tons de temer Bolsonaro: não cortará privilégios políticos porque estão na lei Ciro: spc Daciolo: glória a deus em nome de jesus #DebateBand";;;#DebateBand;"1027776412265181184";https://twitter.com/quoththeraiven/status/1027776412265181184
Vanessa99954600;2018-08-10 01:29;112;372;"Resumindo #DebateBand : Marina: - plante uma árvore! Alckmin: - privatiza geral; Bolsonaro: “roubou, corta a mão” Boulos: - chama a Dilmãe Meirelles: (dormi nas falas dele) Ciro: o milagroso Cabo Daciolo: - é pra glorificar de pé, igreja! Álvaro Dias : carne e unha, alma gêmea...";;;#DebateBand;"1027773934668787713";https://twitter.com/Vanessa99954600/status/1027773934668787713
pauloap;2018-08-10 01:23;312;1657;"Destaques do debate: Jair Bolsonaro - mesmo boicotado, teve respostas eficazes e um final excelente Alvaro Dias - falou bem, mas pecou em insistir enfiando Moro em sua campanha à força Cabo Daciolo - usou o espaço pra falar coisas que ninguem nunca fala o resto sumiu...";;;;"1027772330003574784";https://twitter.com/pauloap/status/1027772330003574784
mizanzuk;2018-08-10 01:07;51;289;"RAUL SEIXAS ERA DROGADO ÁLVARO DIAS";;;;"1027768320068661248";https://twitter.com/mizanzuk/status/1027768320068661248
cynaramenezes;2018-08-10 00:53;273;829;"melhores frases: boulos melhor terno: alvaro dias melhor comediante: daciolo melhor candidata de 2014: marina melhores caras e bocas: ciro maior fiasco: bolsonaro maior ausente pic.twitter.com/BJJcDXzcXI";;;;"1027764900834299904";https://twitter.com/cynaramenezes/status/1027764900834299904
MarcelSalomon;2018-08-10 00:39;0;0;"Um.factoide!";;;;"1027761251693285376";https://twitter.com/MarcelSalomon/status/1027761251693285376
nadanovonofront;2018-08-10 00:28;171;498;"Ciro citou o auxílio moradia do Sérgio Moro. Álvaro Dias está estatelado no chão, mas as câmeras não mostraram";;;;"1027758543540289536";https://twitter.com/nadanovonofront/status/1027758543540289536
Pablo_Peixoto;2018-08-10 00:24;822;1678;"PRÊMIO DEBATE 2018: Melhor Botox: Alvaro Dias Candidato Revelação: Cabo Daciolo Melhor cara de pau: Geraldo Alckmim Melhor Comportamento: Bolsonaro Melhor Youtuber: Boulos Melhor Morto Muito Louco: Meirelles Melhor Cara de debochado: Ciro Gomes Melhor Ausência: Marina Silva";;;;"1027757676976119815";https://twitter.com/Pablo_Peixoto/status/1027757676976119815
assimdisseojoao;2018-08-10 00:24;523;1403;"Álvaro Dias , educação? Lava Jato Álvaro Dias , segurança alimentar? Lava Jato Álvaro Dias , saúde? Um Moro em cada sala de cirurgia";;;;"1027757467780964352";https://twitter.com/assimdisseojoao/status/1027757467780964352
assimdisseojoao;2018-08-10 00:21;226;638;"Álvaro Dias , combate à corrupção? NÓS VAMOS CONTRATAR A MARVEL PRA TRANSFORMAR O MORO NO BÁTIMA, ELE VAI VOAR, VAI SOLTAR RAIO DO OLHO, VAI TELEPORTAR, VAI SER DO CARALHO";;;;"1027756869509685248";https://twitter.com/assimdisseojoao/status/1027756869509685248
boliviazica;2018-08-10 00:07;282;1357;"Álvaro Dias : Amaury Jr Meirelles: Zagallo Boulos: Maurício Meireles Alckmin: Merenda Marina: ET Bolsonaro: Cabo Cabo: Bolsonaro Ciro: Tom Cavalcanti";;;;"1027753234826502144";https://twitter.com/boliviazica/status/1027753234826502144
Gabrieeeeeelzin;2018-08-09 23:52;75;171;"Tanto Álvaro Dias como Ciro Gomes foram respeitáveis com Bolsonaro, o único que tentou uma gracinha se ferrou, isso mostra o crescimento do respeito dos outros candidatos para com ele #BolsonaroNaBand";;;#BolsonaroNaBand;"1027749440629743616";https://twitter.com/Gabrieeeeeelzin/status/1027749440629743616
henriolliveira;2018-08-09 23:48;255;744;"E segue o debate: - BOULOS atacou BOLSONARO - BOLSONARO ignorou BOULOS - BOULOS sumiu - MARINA zzzzzzzzzzzzz - ALCKMIN zzzzzzzzzzzzz - ÁLVARO DIAS zzzzzzzzzzzzz - CIRO GOMES zzzzzzzzzzzzz - MEIRELLES zzzzzzzzzzzz - LULA, ah não, este está preso #BolsonaroNaBand";;;#BolsonaroNaBand;"1027748531531116544";https://twitter.com/henriolliveira/status/1027748531531116544
pauloap;2018-08-09 23:21;389;1207;"Meirelles e Alvaro Dias conseguiram falar minutos sobre a Venezuela sem citar as palavras SOCIALISMO e COMUNISMO #BolsonaroNaBand";;;#BolsonaroNaBand;"1027741771109949440";https://twitter.com/pauloap/status/1027741771109949440
flaviomorgen;2018-08-09 23:07;172;820;"Não pode liberar a maconha, vai todo mundo falar igual o Álvaro Dias .";;;;"1027738055816499205";https://twitter.com/flaviomorgen/status/1027738055816499205
MatheusFilipeBS;2018-08-09 22:59;251;828;"Se a equipe de marketing do Álvaro Dias for inteligente, já pode colocar como slogan: O Brasil tem um CORINGA na manga. #DebateBand pic.twitter.com/cY6jTV4pc2";;;#DebateBand;"1027736086129373185";https://twitter.com/MatheusFilipeBS/status/1027736086129373185
OTiagoAmorim;2018-08-09 22:58;0;0;"Heueheeheueeuhe'";;;;"1027735847276302336";https://twitter.com/OTiagoAmorim/status/1027735847276302336
marconikovski;2018-08-10 01:11;87;189;"resumo dos planos de governo apresentados no debate hoje alvaro dias : investir todo o pib do brasil no juiz sergio moro ciro: trabalhar pra tirar do spc o nome dela cabo daciolo: clamar o nome do deus vivo bolsonaro: poe militar nas coisa tudo alckmin: ajuste fiscal na merenda";;;;"1027769432498757635";https://twitter.com/marconikovski/status/1027769432498757635
heckelucas;2018-08-10 01:10;22;74;"Resumo do #DebateBAND pra quem não viu: Álvaro Dias : Sérgio Moro Daciolo: Glória a Deus Ciro: Sérgio Moro Boulos: Mariele Franco Marina: Passar por uma fresta Alckmin: Reforma política. Meireles: ... Bolsonaro: Dilma e pt";;;#DebateBAND;"1027769208929771520";https://twitter.com/heckelucas/status/1027769208929771520
assimdisseojoao;2018-08-10 01:07;105;362;"Álvaro Dias : Meu plano de metas tem 9 metas MORO MORO MORO MORO MORO MORO MORO MORO MORO";;;;"1027768416776667136";https://twitter.com/assimdisseojoao/status/1027768416776667136
