username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
alves_heverson;2018-08-10 08:35;3;17;"ALGUEM NOTOU QUE O CIRO TAVA MUITO EDUCADINHO COM O BOLSONARO ? ESSA SEMANA ELE JA DEU UMA ENTREVISTA FALANDO BEM DO BOLSONARO E AGORA NO DEBATE PARECIA UM CAVALHEIRO, FOI ATÉ DAR UM ABRAÇO NO MITO... O CURIOSO É QUE ELE VEM A 2 ANOS METENDO A MADEIRA NELE....";;;;"1027881023961542656";https://twitter.com/alves_heverson/status/1027881023961542656
FlavioBolsonaro;2018-08-10 08:14;291;1101;"Buscando suporte na Fortaleza, momentos antes do primeiro debate na TV! “Deus não escolhe os capacitados, capacita os escolhidos”. Via @jairbolsonaro #EstouComBolsonaro #BolsonaroNaBand #CapitaoNaBand #DebateBand pic.twitter.com/iZV58c1Cbv";;@jairbolsonaro;#EstouComBolsonaro #BolsonaroNaBand #CapitaoNaBand #DebateBand;"1027875930738503680";https://twitter.com/FlavioBolsonaro/status/1027875930738503680
RoseBarros__;2018-08-10 08:13;32;91;"A tag do @jairbolsonaro Bolsonaro foi derrubada varias vezes ontem, e subiu outras tantas , com muita velocidade, só prova de que lado o povo realmente está, chegou uma hora que o Twitter desistiu Parabéns Bolsonaro excelente Debate #Bolsonaro2018 #EuVotoBolsonaro pic.twitter.com/H1ZqoDrsmQ";;@jairbolsonaro;#Bolsonaro2018 #EuVotoBolsonaro;"1027875540403978240";https://twitter.com/RoseBarros__/status/1027875540403978240
rafaelnery81;2018-08-10 07:30;7;17;"O q vi ontem foi um monte de candidato com rabo preso com nome na lista da Odebrecht se cagando de medo de fazer perguntas a @jairbolsonaro com medo dele jogar os podres desses no ventilador. Alckmin e Ciro foram os + covardes, nas redes sociais são pitbulls,cara a cara tremem";;@jairbolsonaro;;"1027864702347620352";https://twitter.com/rafaelnery81/status/1027864702347620352
franciscomacsoa;2018-08-10 07:27;59;134;"Presença forte de @jairbolsonaro no debate de ontem! Se saiu bem. #BolsonaroNaBand #EstouComBolsonaro #Bolsonaro2018 pic.twitter.com/ux5jOOIq7x";;@jairbolsonaro;#BolsonaroNaBand #EstouComBolsonaro #Bolsonaro2018;"1027863938086694912";https://twitter.com/franciscomacsoa/status/1027863938086694912
ittszouis;2018-08-10 06:43;51;87;"Pq se vc não apoia o bolsonaro as pessoas já acham que vc é "lula livre" ou comunista??? Não apoiar o bolsonaro é sinônimo apenas de inteligência, e não te coloca automaticamente como apoidor de outra posição política.";;;;"1027853006702891008";https://twitter.com/ittszouis/status/1027853006702891008
enzoenoque;2018-08-10 05:31;10;17;"Fui postar um video ai DIGITEI BOLSONARO advinha não consegui compartilhar o video,removi BOLSONARO o video foi postado";;;;"1027834832175423488";https://twitter.com/enzoenoque/status/1027834832175423488
allantercalivre;2018-08-10 03:51;326;1323;"A estratégia é clara: TODOS os candidatos estão se apropriando de várias propostas de @jairbolsonaro , conhecidas por sua militância, para que o eleitor não engajado com a política pense que estas não são do capitão do Exército. Literalmente, copiaram Jair.";;@jairbolsonaro;;"1027809529810087939";https://twitter.com/allantercalivre/status/1027809529810087939
dextruidora_xx;2018-08-10 03:08;0;0;"Mitei pic.twitter.com/fke1uRvVjJ";;;;"1027798713199194112";https://twitter.com/dextruidora_xx/status/1027798713199194112
Forbes;2018-08-10 02:00;26;42;"In Brazil, market predicts the presidential election to be Bolsonaro vs. Alckmin http:// on.forbes.com/6016DQRSQ pic.twitter.com/Sjz8GLl61r";;;;"1027781594369728513";https://twitter.com/Forbes/status/1027781594369728513
RicardoBolsona1;2018-08-10 01:46;39;87;"Cabo DACIOLO é ex PSOL... Mas continua marxista... RT: para que a DIREITA e os CRISTÃOS NÃO sejam enganados. @jairbolsonaro #DebateBand #EstouComBolsonaro pic.twitter.com/xNUz1adVtU";;@jairbolsonaro;#DebateBand #EstouComBolsonaro;"1027778153748545536";https://twitter.com/RicardoBolsona1/status/1027778153748545536
conexaopolitica;2018-08-10 01:39;370;1246;"ANÁLISE: @jairbolsonaro fez suas considerações finais com o tradicional "Brasil acima de tudo, Deus acima de todos". Líder isolado nas pesquisas presidenciais, o candidato do PSL foi aplaudido e ovacionado pela plateia durante todo o debate. #DebateBand pic.twitter.com/YHJIHZFdAJ";;@jairbolsonaro;#DebateBand;"1027776316106584064";https://twitter.com/conexaopolitica/status/1027776316106584064
victorhavelar;2018-08-10 01:29;101;342;"Bolsonaro mostra que não tem competência nem para manter o posto maluco sendo superado pelo cabo Daciolo. #DebateBand";;;#DebateBand;"1027773870802186240";https://twitter.com/victorhavelar/status/1027773870802186240
GLCampos_;2018-08-10 01:26;92;354;"A fala final de Bolsonaro foi no alvo Em TUDO. Parabéns, @jairbolsonaro ! #DebateBand pic.twitter.com/BFWctsAt7i";;@jairbolsonaro;#DebateBand;"1027773279602438144";https://twitter.com/GLCampos_/status/1027773279602438144
adrianocorin;2018-08-10 01:25;92;275;"Ciro faz uma pergunta pro Bolsonaro . Bolsonaro : Gaguejou, que a culpa é do PT, não tenho proposta pra isso e queria muito saber qual é a sua resposta pra sua própria pergunta... #DebateBand pic.twitter.com/G4H0gSIfvr";;;#DebateBand;"1027772922537099265";https://twitter.com/adrianocorin/status/1027772922537099265
Mateussf;2018-08-10 01:22;345;804;"#DebateBand Jair Bolsonaro : se eu fosse homofóbico e racista eu teria sido condenado pela justiça. Justiça: pic.twitter.com/g6raavXv82";;;#DebateBand;"1027772182133399554";https://twitter.com/Mateussf/status/1027772182133399554
stranvinsky;2018-08-10 01:20;0;1;"AHAUEHUAHAUEHAUAHUEHAUAHE";;;;"1027771622630060033";https://twitter.com/stranvinsky/status/1027771622630060033
alefrotabrasil;2018-08-10 01:19;191;799;"Boa noite Boubos seu vigarista de plantão.Charlatão. @GuilhermeBoulos @jairbolsonaro @cirogomes pic.twitter.com/cfGI7z3Ed4";;@GuilhermeBoulos @jairbolsonaro @cirogomes;;"1027771287471616001";https://twitter.com/alefrotabrasil/status/1027771287471616001
bernardopkuster;2018-08-10 01:16;310;1839;"Band, logo após o debate, entrevista em 1o lugar @jairbolsonaro . Vocês sabem que isto foi feito por causa da alta audiência do candidato. Desprezam, mas sabem puxar o público do capitão. Grande mídia sendo grande mídia. #BolsonaroNaBand";;@jairbolsonaro;#BolsonaroNaBand;"1027770686981513217";https://twitter.com/bernardopkuster/status/1027770686981513217
brizola_pistola;2018-08-10 01:16;131;398;"Quem acha que a paranoia delirante do Daciolo vai roubar muito voto do Bolsonaro da um RT ai #CiroNaBand #DebateBand";;;#CiroNaBand #DebateBand;"1027770596027981824";https://twitter.com/brizola_pistola/status/1027770596027981824
sorayapinheiro1;2018-08-10 08:04;10;12;"MULHERES ATACAM BOLSONARO EM AVIÃO pic.twitter.com/5xau1PvQW1";;;;"1027873407797522433";https://twitter.com/sorayapinheiro1/status/1027873407797522433
Clauwild1;2018-08-10 04:26;210;845;"O debate da Band teve de tudo: ex-PSOL(Daciolo)sem lacrar e citando Dr.Eneas; Boulos bancando o legalista;Ciro desdizendo o que disse; Alckmin e Marina causando sono no telespectador; Álvaro Dias e Meireles fazendo de conta que não são do sistema e Bolsonaro mostrando a que veio.";;;;"1027818376012419072";https://twitter.com/Clauwild1/status/1027818376012419072
Rosana_blue;2018-08-10 04:03;10;42;"O ruim é ter que esperar até outubro pra votar no @jairbolsonaro e até janeiro pra passar a faixa. A mão pra apertar 17 ja ta tremendo.";;@jairbolsonaro;;"1027812703308599296";https://twitter.com/Rosana_blue/status/1027812703308599296
conexaopolitica;2018-08-10 03:03;137;414;"ELEIÇÕES 2018: TV Bandeirantes divulga vitória de @jairbolsonaro no primeiro Debate Eleitoral à presidência da República. Através do 'Google Trends', o candidato do PSL liderou o 'interesse de busca' em todos os estados, exceto no Rio de Janeiro, que deu Cabo Daciolo. pic.twitter.com/UFMOEKo8Cr";;@jairbolsonaro;;"1027797606414606336";https://twitter.com/conexaopolitica/status/1027797606414606336
BolsonaroSP;2018-08-10 02:46;602;2494;"A Band monitorou, através do GoogleTrends, as buscas pelos presidenciáveis nas redes. Jair Bolsonaro disparado em 1º! Obrigado a você que se engajou nas redes esta noite e nos ajudou com essa moral *Imagem: @Smith_Hays pic.twitter.com/372XS6Df4C";;@Smith_Hays;;"1027793247438024704";https://twitter.com/BolsonaroSP/status/1027793247438024704
olimpiomt;2018-08-10 01:56;32;53;"O Brasil só quer saber de Bolsonaro ! pic.twitter.com/Wg912Ahaai";;;;"1027780622167760896";https://twitter.com/olimpiomt/status/1027780622167760896
Francischini_;2018-08-10 01:54;442;944;"BOLSONARO DESMASCARA A POLÍTICA BRASILEIRA AO VIVO! ISSO MERECE SER COMPARTILHADO pic.twitter.com/aYcUo5pO6W";;;;"1027780291467911174";https://twitter.com/Francischini_/status/1027780291467911174
O_Itinerante;2018-08-10 01:54;23;48;"Será que @jairbolsonaro leva no primeiro turno, olha aí no #DebateBand o #CapitãoNaBand pic.twitter.com/QkctD58dWb";;@jairbolsonaro;#DebateBand #Capit;"1027780161905860608";https://twitter.com/O_Itinerante/status/1027780161905860608
ballaoficial;2018-08-10 01:51;255;978;"O debate foi bom, comprovou que: - Daciolo é maluco - Dias toma remédio - Alckmin mente, muito - Meirelles é o Munn-Rá - Boulos é um adolescente - Ciro é o gênio da lâmpada - Marina não vive neste planeta - Bolsonaro não têm hemorroidas #DebateBand";;;#DebateBand;"1027779446223331328";https://twitter.com/ballaoficial/status/1027779446223331328
henriolliveira;2018-08-10 01:48;48;118;"O TWITTER DERRUBOU simplesmente TODAS as tags de apoio a @jairbolsonaro TODAS! Ah, mas é só "coincidência"...";;@jairbolsonaro;;"1027778719962882053";https://twitter.com/henriolliveira/status/1027778719962882053
tlxrryvd;2018-08-10 01:43;52;187;"#DebateBand Racista, homofobico e machista, apresento-lhes, Jair Bolsonaro . Me: pic.twitter.com/uZqnLzWSg2";;;#DebateBand;"1027777314992672770";https://twitter.com/tlxrryvd/status/1027777314992672770
Francischini_;2018-08-10 01:35;367;798;"BOLSONARO DENUNCIA ASSASSINATOS DO GRUPO DE DILMA EM REDE NACIONAL! VAMOS ESPALHAR PARA QUE TODO O BRASIL SAIBA! pic.twitter.com/uCcTWJzQgg";;;;"1027775422971490304";https://twitter.com/Francischini_/status/1027775422971490304
boliviazica;2018-08-10 01:29;722;2631;"Boulos: 50 tons de Temer Ciro: vou limpar seu nome Marina: sou um milagre social Bolsonaro : meu auxílio-moradia é pra pagar o IPTU e comer gente Alckmin: Cadê minha merenda? Álvaro: t_amo_SejoMoro Cabo: Glória a Deus Nosso Senhor Jesus Cristo Meirelles: blghblghttlsglub";;;;"1027774025551044609";https://twitter.com/boliviazica/status/1027774025551044609
AraciPatriota;2018-08-10 01:29;91;416;"Veja isso caríssimo Bolsonaro pic.twitter.com/a36urGIngD";;;;"1027774002968846337";https://twitter.com/AraciPatriota/status/1027774002968846337
Vanessa99954600;2018-08-10 01:29;112;372;"Resumindo #DebateBand : Marina: - plante uma árvore! Alckmin: - privatiza geral; Bolsonaro : “roubou, corta a mão” Boulos: - chama a Dilmãe Meirelles: (dormi nas falas dele) Ciro: o milagroso Cabo Daciolo: - é pra glorificar de pé, igreja! Álvaro Dias: carne e unha, alma gêmea...";;;#DebateBand;"1027773934668787713";https://twitter.com/Vanessa99954600/status/1027773934668787713
Bopressor20;2018-08-10 01:28;376;1567;"Se Bolsonaro fosse RACISTA não daria entrevista para esta repórter. pic.twitter.com/kVaTwEEBgL";;;;"1027773648298561536";https://twitter.com/Bopressor20/status/1027773648298561536
gabriel96172491;2018-08-10 01:23;12;35;"Bolsonaro presidente do Brasil.. pic.twitter.com/UgfMUKDxdc";;;;"1027772517665173504";https://twitter.com/gabriel96172491/status/1027772517665173504
fabyconsultora;2018-08-10 01:21;10;31;"Que vergonha heim @TwitterBrasil derrubaram todas as tags que sem referem a @jairbolsonaro desse jeito vai ser difícil continuar com vocês heim.....palhaçada";;@TwitterBrasil @jairbolsonaro;;"1027771854478626816";https://twitter.com/fabyconsultora/status/1027771854478626816
RafaelCamposdS;2018-08-10 01:16;14;145;"E gravei hahaha pic.twitter.com/nqa2ZOPICl";;;;"1027770644723900417";https://twitter.com/RafaelCamposdS/status/1027770644723900417
jairbolsonaro;2018-08-10 01:14;4568;25821;"Grato pelos que assistiram ao debate até este horário. Somos os únicos verdadeiramente capazes de fazer as mudanças necessárias para colocar o Brasil nos trilhos sem estar refém de partidos e do sistema. Boa noite e fiquem com Deus!";;;;"1027770133232734211";https://twitter.com/jairbolsonaro/status/1027770133232734211
calu_barros;2018-08-10 07:57;18;176;"Poxa, não sabia que vc estava fazendo campanha pra Marina. O vice dela é bom mesmo. Parabéns pela escolha Bolsonaro .";;;;"1027871538433978368";https://twitter.com/calu_barros/status/1027871538433978368
RosauraNanini;2018-08-10 06:39;7;16;"DIFERENÇA DE @jairbolsonaro : Considerações finais de Bolsonaro "Só tem um nome que pode fazer a diferença,ele é o de Jair Bolsonaro .Ň admitirei ideologia de gênero.Deixarei o comunismo e o socialismo para trás, sepultarei o Foro de SP.Brasil acima de tudo,Deus acima de todos"";;@jairbolsonaro;;"1027851951487299584";https://twitter.com/RosauraNanini/status/1027851951487299584
