username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
benebarbosa_mvb;2018-08-10 08:27;56;357;"Se eu não pagar taxa de ocupação do Boulos o Ciro me ajuda?";;;;"1027879150160433152";https://twitter.com/benebarbosa_mvb/status/1027879150160433152
Clauwild1;2018-08-10 04:26;210;846;"O debate da Band teve de tudo: ex-PSOL(Daciolo)sem lacrar e citando Dr.Eneas; Boulos bancando o legalista;Ciro desdizendo o que disse; Alckmin e Marina causando sono no telespectador; Álvaro Dias e Meireles fazendo de conta que não são do sistema e Bolsonaro mostrando a que veio.";;;;"1027818376012419072";https://twitter.com/Clauwild1/status/1027818376012419072
ballaoficial;2018-08-10 01:51;257;983;"O debate foi bom, comprovou que: - Daciolo é maluco - Dias toma remédio - Alckmin mente, muito - Meirelles é o Munn-Rá - Boulos é um adolescente - Ciro é o gênio da lâmpada - Marina não vive neste planeta - Bolsonaro não têm hemorroidas #DebateBand";;;#DebateBand;"1027779446223331328";https://twitter.com/ballaoficial/status/1027779446223331328
boliviazica;2018-08-10 01:29;722;2634;"Boulos : 50 tons de Temer Ciro: vou limpar seu nome Marina: sou um milagre social Bolsonaro: meu auxílio-moradia é pra pagar o IPTU e comer gente Alckmin: Cadê minha merenda? Álvaro: t_amo_SejoMoro Cabo: Glória a Deus Nosso Senhor Jesus Cristo Meirelles: blghblghttlsglub";;;;"1027774025551044609";https://twitter.com/boliviazica/status/1027774025551044609
Vanessa99954600;2018-08-10 01:29;112;372;"Resumindo #DebateBand : Marina: - plante uma árvore! Alckmin: - privatiza geral; Bolsonaro: “roubou, corta a mão” Boulos : - chama a Dilmãe Meirelles: (dormi nas falas dele) Ciro: o milagroso Cabo Daciolo: - é pra glorificar de pé, igreja! Álvaro Dias: carne e unha, alma gêmea...";;;#DebateBand;"1027773934668787713";https://twitter.com/Vanessa99954600/status/1027773934668787713
sorewa_;2018-08-10 01:23;10;72;"Boulos inside. pic.twitter.com/nQaSiynR3I";;;;"1027772376006754304";https://twitter.com/sorewa_/status/1027772376006754304
Desesquerdizada;2018-08-10 01:03;746;2518;"De Guilherme Boulos no #DebateBand : "Nosso projeto é o de Paulo Freire, é o de Zumbi dos Palmares". Paulo Freire, influenciador e patrono de uma das piores educações do mundo de acordo com o PISA. E Zumbi dos Palmares, um negro que tinha escravos.";;;#DebateBand;"1027767389956579330";https://twitter.com/Desesquerdizada/status/1027767389956579330
sensacionalista;2018-08-10 01:03;788;2858;"#DebateBand 2 milhões de brasileiros ficarão sem dormir esta noite após imaginar cenas de 50 Tons de Cinza com Temer por causa de Boulos";;;#DebateBand;"1027767312844292097";https://twitter.com/sensacionalista/status/1027767312844292097
MulherTamarindo;2018-08-10 01:01;16;114;"ai boulos you lost me at midia ninja";;;;"1027766807992721408";https://twitter.com/MulherTamarindo/status/1027766807992721408
LannesDelRey;2018-08-10 00:57;447;1564;"Resumo sobre esse debate Boulos mitou Alckmin gaguejou Marina blablarizou Meirelles enrolou Ciro debochou Bolsonaro arregou Lula ganhou #DebateBand";;;#DebateBand;"1027765932628819968";https://twitter.com/LannesDelRey/status/1027765932628819968
roxmo;2018-08-10 00:50;702;2462;"Hahahahahahaha! E espezinha, “por unanimidade” RT @brasildevolta : Vamos rir um pouco mais do Boulos que ele merece hahahaha #DebateBand pic.twitter.com/2WKoQC63R8";;@brasildevolta;#DebateBand;"1027764103358676992";https://twitter.com/roxmo/status/1027764103358676992
