username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ConservaB;2018-08-10 02:11;84;137;"O MENTIROSO!!! CIRO GOMES MENTIU DESCARAMENTE NA REPOSTA AO CABO DACIOLO Ciro Gomes admite que participa das reuniões do foro de são paulo! pic.twitter.com/YdAKTe4uHn";;;;"1027784573025955840";https://twitter.com/ConservaB/status/1027784573025955840
soshinb;2018-08-10 01:48;0;1;"entenderam a headerkkllllllkkkk ursal kkkkkkk";;;;"1027778713923018752";https://twitter.com/soshinb/status/1027778713923018752
bpldadepre;2018-08-10 01:46;190;487;"Olá Como diria o cabo Daciolo PARA A HONRA E GLORIA DO SENHOR JESUS HOJE TEM PREMIER LEAGUE";;;;"1027778246983729152";https://twitter.com/bpldadepre/status/1027778246983729152
RicardoBolsona1;2018-08-10 01:46;39;89;"Cabo DACIOLO é ex PSOL... Mas continua marxista... RT: para que a DIREITA e os CRISTÃOS NÃO sejam enganados. @jairbolsonaro #DebateBand #EstouComBolsonaro pic.twitter.com/xNUz1adVtU";;@jairbolsonaro;#DebateBand #EstouComBolsonaro;"1027778153748545536";https://twitter.com/RicardoBolsona1/status/1027778153748545536
sabrinanaquino;2018-08-10 01:41;116;328;"URSAL - União das Repúblicas Socialistas da América Latina. Cabo Daciolo deu a ideia e agora a gente quer. pic.twitter.com/wxr2irZjrR";;;;"1027776832093990913";https://twitter.com/sabrinanaquino/status/1027776832093990913
soshinb;2018-08-10 01:29;0;0;"KKKKKKKKKJJJJJJJJJJ ARRRRRRRR https:// twitter.com/billieVjean/st atus/1027773610398806016 …";;;;"1027774024699596800";https://twitter.com/soshinb/status/1027774024699596800
Vanessa99954600;2018-08-10 01:29;112;372;"Resumindo #DebateBand : Marina: - plante uma árvore! Alckmin: - privatiza geral; Bolsonaro: “roubou, corta a mão” Boulos: - chama a Dilmãe Meirelles: (dormi nas falas dele) Ciro: o milagroso Cabo Daciolo : - é pra glorificar de pé, igreja! Álvaro Dias: carne e unha, alma gêmea...";;;#DebateBand;"1027773934668787713";https://twitter.com/Vanessa99954600/status/1027773934668787713
victorhavelar;2018-08-10 01:29;101;342;"Bolsonaro mostra que não tem competência nem para manter o posto maluco sendo superado pelo cabo Daciolo . #DebateBand";;;#DebateBand;"1027773870802186240";https://twitter.com/victorhavelar/status/1027773870802186240
pauloap;2018-08-10 01:23;312;1657;"Destaques do debate: Jair Bolsonaro - mesmo boicotado, teve respostas eficazes e um final excelente Alvaro Dias - falou bem, mas pecou em insistir enfiando Moro em sua campanha à força Cabo Daciolo - usou o espaço pra falar coisas que ninguem nunca fala o resto sumiu...";;;;"1027772330003574784";https://twitter.com/pauloap/status/1027772330003574784
legadodacopa;2018-08-10 01:22;195;615;"GALERA QUERIA DIZER QUE EU TÔ FECHADÃO COM O CABO DACIOLO PRA HONRA E GLÓRIA DO NOSSO SENHOR JESUS";;;;"1027772144837644289";https://twitter.com/legadodacopa/status/1027772144837644289
babi;2018-08-10 01:19;331;997;"Medo de ir na cozinha de madrugada e encontrar o Cabo Daciolo gritando lá";;;;"1027771363132665856";https://twitter.com/babi/status/1027771363132665856
HistoriaNoPaint;2018-08-10 01:18;316;1350;"Pensei que hoje o Bolsonaro iria lançar vários "tem que se foder e acabou", mas ele ficou calmo. Felizmente, Cabo Daciolo compareceu ao debate e salvo-o. Nem todo herói usa capa, que Deus abençoe todos os brasileiros, menos os 400 bilhões que sonegam impostos";;;;"1027771097683582978";https://twitter.com/HistoriaNoPaint/status/1027771097683582978
legadodacopa;2018-08-10 01:13;208;718;"SE NÃO FOSSE O CABO DACIOLO ESSE DEBATE TINHA SIDO O FRANÇA X DINAMARCA DAS ELEIÇÕES";;;;"1027769830685003781";https://twitter.com/legadodacopa/status/1027769830685003781
danilo_sanches;2018-08-10 01:13;60;202;"não vou conseguir dormir com cabo daciolo à solta por aí";;;;"1027769803208118274";https://twitter.com/danilo_sanches/status/1027769803208118274
diImabr;2018-08-10 01:10;272;776;"Emocionante o discurso final do Cabo Daciolo no #DebateBand . pic.twitter.com/bTsQ2wRGD5";;;#DebateBand;"1027769190168645633";https://twitter.com/diImabr/status/1027769190168645633
RickSouza;2018-08-10 01:09;199;789;"Bíblia + Enéas + glória a Deus Cabo Daciolo foi a melhor pior coisa que podia ter acontecido nessa noite #debateBand";;;#debateBand;"1027768807169904640";https://twitter.com/RickSouza/status/1027768807169904640
rehventura;2018-08-10 01:09;127;591;"Na escola que o Bozonaro é aluno, o Cabo Daciolo já deu aula";;;;"1027768756225941504";https://twitter.com/rehventura/status/1027768756225941504
eumaxiny;2018-08-10 01:07;52;156;"#DebateBand : cabo daciolo - glória Deus Quais suas propostas? - em nome de Jesus";;;#DebateBand;"1027768476839174145";https://twitter.com/eumaxiny/status/1027768476839174145
legadodacopa;2018-08-10 01:07;267;715;"O CABO DACIOLO TAVA NO SHOW DA FÉ ANTES DE COMEÇAR O DEBATE";;;;"1027768395444506624";https://twitter.com/legadodacopa/status/1027768395444506624
JornalismoWando;2018-08-10 01:05;270;1205;"Bom, acho que todos concordamos que o Cabo Daciolo é o grande vencedor do debate";;;;"1027767986147483648";https://twitter.com/JornalismoWando/status/1027767986147483648
ricardorubhfkjf;2018-08-10 01:00;0;0;"KKKKKKKKKKKKKKKKKKKKKKKKKKKKMKKKKKKKKKKKKKK fdp";;;;"1027766640648314880";https://twitter.com/ricardorubhfkjf/status/1027766640648314880
fernandinhobn;2018-08-10 00:45;449;943;"Bolsonaro é um candidato infiltrado da esquerda criado exclusivamente para enfraquecer a candidatura de Cabo Daciolo , o verdadeiro nacionalista dessas eleições. Espalhe.";;;;"1027762874754555904";https://twitter.com/fernandinhobn/status/1027762874754555904
delucca;2018-08-10 00:43;398;1634;"Eu nunca tinha ouvido falar no projeto da URSAL: União das Repúblicas Socialistas da América do Sul, mas fiquei extremamente interessado. Onde assina pra implantar, Cabo Daciolo ?";;;;"1027762314961932288";https://twitter.com/delucca/status/1027762314961932288
Garnetsemoculos;2018-08-10 00:41;112;375;"#DebateBand Cabo Daciolo disse que não está nas pesquisas. Mentira pic.twitter.com/t5i8gfjoe0";;;#DebateBand;"1027761919460102144";https://twitter.com/Garnetsemoculos/status/1027761919460102144
jonestrelaa;2018-08-10 00:38;125;434;"O que eu aprendi com o Cabo Daciolo , no #DebateBand foi que o Brasil (com 208 milhões de habitantes) tem 400 BILHÕES de devedores pic.twitter.com/ZX4Db4o7eC";;;#DebateBand;"1027761037876125696";https://twitter.com/jonestrelaa/status/1027761037876125696
Itspedrito;2018-08-10 00:33;546;1597;"Se dois iguais nao podem reproduzir entao como o Capitao Nascimento e o Silas Malafaia fizeram o Cabo Daciolo ??? #DebateBand";;;#DebateBand;"1027759739650887680";https://twitter.com/Itspedrito/status/1027759739650887680
Leoni_a_jato;2018-08-10 00:32;155;736;"Cabo Daciolo parece que vai mandar a nação brasileira pagar 15 flexões para acabar com a moleza. Mas em nome de Deus!";;;;"1027759527897309184";https://twitter.com/Leoni_a_jato/status/1027759527897309184
renzgui;2018-08-10 00:25;258;587;"jornalista: a cabo daciolo : POLITICAAAAAAAAAAAAAAAAAAAAAAA CORRUPTOSSSSSSSSSSSSSSSSSSSSSS CHEGAAAAAAAAAA MILITAR TB EH CHEGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA pic.twitter.com/gi04YK36l1";;;;"1027757829535551489";https://twitter.com/renzgui/status/1027757829535551489
partidonovo30;2018-08-10 00:23;144;755;"Em ao menos uma coisa concordamos com o @CaboDaciolo : o NOVO está chegando.";;@CaboDaciolo;;"1027757419496185856";https://twitter.com/partidonovo30/status/1027757419496185856
