username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OCorvo_;2018-08-10 07:20;77;310;"Gente, descobri como o Ciro Gomes vai tirar seu nome do SPC/Serasa pic.twitter.com/Rr7NoORj1C";;;;"1027862198520086528";https://twitter.com/OCorvo_/status/1027862198520086528
cintianaDois;2018-08-10 03:17;23;87;"#DebateBand Ciro Gomes #ciroNaBand o que não deu tempo de explicar pic.twitter.com/wdVZeLM42T";;;#DebateBand #ciroNaBand;"1027801012088856576";https://twitter.com/cintianaDois/status/1027801012088856576
c__duh;2018-08-10 01:40;63;273;"#DebateBand o Ciro Gomes já cumpriu galera pic.twitter.com/vK8bC5xHde";;;#DebateBand;"1027776747528486912";https://twitter.com/c__duh/status/1027776747528486912
alexsnittram;2018-08-10 01:14;132;402;"Sobre limpar o nome do SPC. O governo faz isso com empresas todos os dias, empresas que tem inclusive dívidas Bilionárias. Negociando com os credores a questão de juros e correção monetaria. Já existe um programa assim, chamado feirão limpa nome... Ciro Gomes #DebateBand";;;#DebateBand;"1027770148743274496";https://twitter.com/alexsnittram/status/1027770148743274496
lacerda;2018-08-10 01:01;259;756;"eu vou pedir empréstimo altíssimo então já q ciro gomes prometeu limpar meu nome no spc";;;;"1027766888221356032";https://twitter.com/lacerda/status/1027766888221356032
bernardopkuster;2018-08-10 01:00;215;1543;"Palavras finais de CIRO GOMES . Pediu desculpas por dizer que mulher do juiz Moro era juíza. Já melou a cueca. #BolsonaroNaBand";;;#BolsonaroNaBand;"1027766535379709952";https://twitter.com/bernardopkuster/status/1027766535379709952
tiagof_araujo;2018-08-10 00:54;64;245;"Ciro Gomes da uma boa resposta sobre a "demora para a liberação de medicamentos por causa da burocracia", ainda de quebra coloca no colo de Bolsonaro uma proposta patética dele, tirando Bolsonaro do sério pela primeira vez no debate. #DebateBand #CironaBand";;;#DebateBand #CironaBand;"1027765162382643200";https://twitter.com/tiagof_araujo/status/1027765162382643200
ojamestv;2018-08-10 00:53;198;816;"Ciro Gomes fez o Bolsonazi surtar #DebateBand pic.twitter.com/oDduixYWnx";;;#DebateBand;"1027764851257606144";https://twitter.com/ojamestv/status/1027764851257606144
LannesDelRey;2018-08-10 00:49;212;802;"Ciro Gomes merece o troféu debochada #DebateBand";;;#DebateBand;"1027763858763644928";https://twitter.com/LannesDelRey/status/1027763858763644928
fernandatanaka_;2018-08-10 00:37;156;1163;"Aquela turma que dizia " Ciro Gomes vai destruir o Bolsonaro nos debates", cadê? A única coisa que vimos foi o Ciro tentando pagar de fofo. #DebateBand";;;#DebateBand;"1027760860708712449";https://twitter.com/fernandatanaka_/status/1027760860708712449
luucasbrasil;2018-08-10 00:26;24;89;"Ciro Gomes and Boulos Condragulations! You are the 2 winners of this week's challenge. #DebateBand pic.twitter.com/Vhj3nVG29t";;;#DebateBand;"1027758171690029056";https://twitter.com/luucasbrasil/status/1027758171690029056
