username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FlaRobSal;2018-08-10 08:00;13;19;"Via Wats Henrique Meirelles confessou que no governo Lula houve grande crescimento; como também Ciro Gomes afirmando que Dilma Rousseff sofreu um golpe, e que não roubou, e não houve pedaladas fiscais. O PT sem comparecer ao debate deu o seu recado ao povo brasileiro. pic.twitter.com/B8c7CUG39a";;;;"1027872391215689728";https://twitter.com/FlaRobSal/status/1027872391215689728
quoththeraiven;2018-08-10 01:39;19;51;"Resumo do debate: Álvaro Dias e Henrique Meirelles : zzZzzZzZ Marina: o mais do mesmo de sempre Boulos: 50 tons de temer Bolsonaro: não cortará privilégios políticos porque estão na lei Ciro: spc Daciolo: glória a deus em nome de jesus #DebateBand";;;#DebateBand;"1027776412265181184";https://twitter.com/quoththeraiven/status/1027776412265181184
Biakicis;2018-08-10 01:01;88;391;"Copiei: devia ser proibido um candidato chato perguntar a outro candidato chato. alvaro dias: quero perguntar para henrique meirelles mediador: infelizmente não pode, pois ambos são chatos. selecione um candidato do rol de doidos.";;;;"1027766811331317763";https://twitter.com/Biakicis/status/1027766811331317763
lucasinutilismo;2018-08-10 00:52;251;1655;"cuestão: por que o henrique meirelles parece que tá com um bolinho ana maria atolado na garganta quando fala?";;;;"1027764532259770368";https://twitter.com/lucasinutilismo/status/1027764532259770368
jvtei;2018-08-10 00:50;8;36;"Alguém grava o Henrique Meirelles rindo do Bolsonaro puto pelo amor de Deus KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK #DebateBand";;;#DebateBand;"1027764210401533952";https://twitter.com/jvtei/status/1027764210401533952
desatualidades;2018-08-10 00:03;31;119;"#DebateBand É impressão minha ou Ciro Gomes, Marina Silva e Henrique Meirelles , cada um ao seu modo, estão admitindo que o auge de suas carreiras políticas se deu quando os mesmos foram Ministros nos Governos Lula?! #DebateComLula";;;#DebateBand #DebateComLula;"1027752252998672384";https://twitter.com/desatualidades/status/1027752252998672384
dextruidora_xx;2018-08-10 00:01;9;55;"Henrique Meirelles ficou mudo com o Boulos. MEU DEUS MEU DEUS #DebateBand pic.twitter.com/snZw78HahY";;;#DebateBand;"1027751861355466752";https://twitter.com/dextruidora_xx/status/1027751861355466752
luca_salri;2018-08-09 23:47;9;21;"Se tiver mais uma réplica/ tréplica entre o Alckmin e Henrique Meirelles , a nação brasileira dorme em berço esplêndido. #DebateBand";;;#DebateBand;"1027748347828994048";https://twitter.com/luca_salri/status/1027748347828994048
psol50;2018-08-09 23:45;44;129;"Alckmin e Henrique Meirelles debatendo o Bolsa Família como se, de fato, se importassem com a população mais pobre do país. #DebateBand #BoulosNaBand";;;#DebateBand #BoulosNaBand;"1027747622344450049";https://twitter.com/psol50/status/1027747622344450049
faaninja1;2018-08-09 23:39;12;40;"Resumão do #DebateBand : Álvaro Dias: bêbado e com sono Henrique Meirelles : bêbado e com anestesia na boca Jair Bolsonaro: apelando pro militarismo Ciro Gomes: (falou só duas vezes) cheio de dados e números Guilherme Boulos: atirando pra tudo que é lado";;;#DebateBand;"1027746302417887233";https://twitter.com/faaninja1/status/1027746302417887233
