username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Pablo_Peixoto;2018-08-10 00:24;822;1678;"PRÊMIO DEBATE 2018: Melhor Botox: Alvaro Dias Candidato Revelação: Cabo Daciolo Melhor cara de pau: Geraldo Alckmim Melhor Comportamento: Bolsonaro Melhor Youtuber: Boulos Melhor Morto Muito Louco: Meirelles Melhor Cara de debochado: Ciro Gomes Melhor Ausência: Marina Silva";;;;"1027757676976119815";https://twitter.com/Pablo_Peixoto/status/1027757676976119815
marcion_pynah;2018-08-10 00:20;14;47;"Marina Silva tem uma postura ética e a sua trajetória é inspiradora, sempre aberta ao diálogo e com prestígio internacional. Por isso tem minha admiração. @MarinaSilva #Marina2018";;@MarinaSilva;#Marina2018;"1027756567997894656";https://twitter.com/marcion_pynah/status/1027756567997894656
ReginadoPrates;2018-08-09 23:57;115;257;"#BolsonaroNaBand Marina Silva se pinta como protetora do meio ambiente, mas não pôs os pés em Mariana para ao menos declarar apoio de corpo presente em uma das maiores tragédias ambientais do país.";;;#BolsonaroNaBand;"1027750658571751425";https://twitter.com/ReginadoPrates/status/1027750658571751425
Laranjinhass;2018-08-09 23:56;78;181;"Marina Silva e anitta As duas em cima de um muro a 80km/h";;;;"1027750616892932097";https://twitter.com/Laranjinhass/status/1027750616892932097
rod__serling;2018-08-09 23:55;51;139;"Marina Silva falando #BolsonaroNaBand pic.twitter.com/UGZWYnUTdX";;;#BolsonaroNaBand;"1027750207558172673";https://twitter.com/rod__serling/status/1027750207558172673
marinadolacre;2018-08-09 23:41;12;31;"Quem viveu o desemprego sabe o que não pode deixá-lo continuar! Marina Silva é a mais preparada! #MarinaNaBand #DebateBand pic.twitter.com/Ydwvei3q7z";;;#MarinaNaBand #DebateBand;"1027746777515077632";https://twitter.com/marinadolacre/status/1027746777515077632
humanas_doc;2018-08-09 23:28;79;196;"O ano é 2090 Marina Silva se candidata novamente a presidência pela 383992 vez";;;;"1027743402794860544";https://twitter.com/humanas_doc/status/1027743402794860544
PauladaSJM;2018-08-09 23:09;0;0;"HAUEHAUEHAUEH";;;;"1027738651093069826";https://twitter.com/PauladaSJM/status/1027738651093069826
HadamesWilson;2018-08-09 23:07;56;217;"Marina Silva é uma mulher cheia de esperança e apaixonada pelo Brasil. A gente consegue ver isso no discurso dela, ela acredita, é como uma mãe que fala de um filho que já não tem mais jeito!! pic.twitter.com/1s8ULq2Nc3";;;;"1027738137232125952";https://twitter.com/HadamesWilson/status/1027738137232125952
voufalareal;2018-08-09 23:01;44;199;"" Marina Silva é a melhor opção" #DebateBand pic.twitter.com/eynvKTXO6Q";;;#DebateBand;"1027736696224399360";https://twitter.com/voufalareal/status/1027736696224399360
fadiamantino;2018-08-09 23:00;46;237;"Marina Silva demonstra conhecimento e preparo para resolver os graves problemas do Brasil pic.twitter.com/3WlUMT8kmp";;;;"1027736442603220992";https://twitter.com/fadiamantino/status/1027736442603220992
